GARNETS	Strange, strange gemstones (7)
GROWTH	Progress starting to generate astonishing worth (6)
RUN	Operate homecoming? (3)
ELEGANCE	Electrical engineer, casting glance inside, shows refinement (8)
SEATS	Accomodates the ocean, Mr. Eliot (5)
RECAPS	Reaps reaps one hundred summaries (6)
RELY	Audibly repeat an untruth to depend on (4)
CLOTHE	Wrap portable bed around large male (6)
PINOT	Start to wine, returning to following wrestling win? (5)
OUNCE	Bounce bounce's leader in weight (5)
ALLROUND	Around around fifty-fifty, comprehensive (3-5)
ASAP	A loser, initially in a hurry (4)
THREADS	Trashed trashed duds (7)
RHETT	Scarlett's beau upset her?  True, true! (5)
PHOTOS	In in returned gift pictures (6)
BOSC	Hobos continue eating pear (4)
ESCARGOT	Snails set oddly to hold hold contents (8)
RUSE	Ploy sure confused (4)
TRIP	Travel strips strips (4)
RESOD	Medicator returns to relay the green? (5)
PIPESTEM	Knight's backup member meets unusually thin leg? (8)
HATS	Helping another to see lids lids (4)
HAHA	Laughing fence (4)
PSYCHICS	In in spy's confused seers (8)
TAMPER	Illegally negotiate with one who pounds down (6)
HEISTS	Nonbelievers lose at robberies (6)
HYENAS	Has has itch for scavengers (6)
EARTH	Home for beating heart?! (5)
TREADLE	Altered altered foot lever (7)
TORCH	Actor chivalrously carries this, if lovelorn? (5)
DOES	Has intercourse with deer, deer? (4)
TRAPDOOR	After role reversal, Dr. has nothing, nothing for escape hatch (8)
TAILS	Dogs dog's missing from shortens (5)
IOU	Pious heart yields acknowledgement of debt (3)
SHARES	Stocks stocks rabbit in seconds (6)
HUMBUGS	Hugs hugs dissolute bum; they're misleading (7)
