STRIKESDOWN	Kills
STRAIN	Back problem
THEWHO	Woodstock act
REGENT	Governor
IRES	Burns up
KENO	Vegas offering
EYEMINDED	Tending to gather information visually
SOREN	Existentialist Kierkegaard
DUANE	One of the Allman Brothers
OATER	One might be shot on the range
WREST	Usurp
NESSIE	Supermarket tabloid subject
HAS	Dupes
HARDSELL	Certain pitch
AVER	Say so
SEXY	Hot
THEREYOUARE	"Voilà!"
AVE	Monopoly abbr.
REGENERATES	Becomes a new person
REX	Short-haired cat breed
AWESOMENESS	Grandiosity
DRY	Hang out, perhaps
IHN	Him, in Heidelberg
INERTIAS	They keep you going
ABASER	Bully, often
NOTION	Knickknack
ISRAEL	Name given to Jacob after he wrestled with the angel
OIL	Semi liquid
EBERT	1975 Pulitzer winner for criticism
RTE	Delivery path: Abbr.
TOY	Bathtub submarine, e.g.
SIDEARM	Certain pitch
ESO	This, in Toledo
AGO	It may appear after a long time
RRR	Education, initially
MADEHASTE	Flew
ALTO	Marian Anderson, for one
CHARLESGRASSLEY	Iowa Senator
CAS	French matter
HST	Potsdam Conference attendee: Abbr.
AIRFIELD	Tower's locale
SIN	Epitome of ugliness?
ASIA	Home to some elephants
DOORDIE	Desperate
STREP	Certain infection
PAMPAS	Argentine area
ENRAPT	Far from uninterested
ASENSE	"Ayn Rand: ___ of Life" (Oscar-nominated documentary)
PUREED	Turned to mush
TESSAS	Characters in "Romola" and "The Gondoliers"
FLATTISH	Slightly off-key
TARDE	Afternoon: Sp.
TIERS	Arena parts
INDIA	Forster novel setting
STEAM	Letter opener, at times
SUE	Seek damages, say
POI	Pacific paste
PAGE	Leaf unit
OXEN	Span pair
MAINTAINERS	Custodians, e.g.
ITIS	"Really?"
NICE	"Good one!"
AXE	Hacker
PREDESTINES	Fates
GEL	Set
ADRIATICSEA	View from Ancona
END	Cut out
SESAMESEEDS	Roll top?
