BUGJUICE	Punchlike beverage
BAMA	The Tide, of college sports
UBER	Potsdam preposition
GNUS	Serengeti herd
JON	Actor Favreau
URI	Sch. in Kingston
IMEAN	Freudian slip follower
CARRE	French square
ELEM	I, for one: Abbr.
HOAGIE	Sub
HURRICANE	It may bring down the house
ONEAM	When last call may be announced
ALEC	Jazz pianist Templeton
GAVEABOOST	Helped up
ICE	Bar stock
EES	Some M.I.T. grads
ABNORMAL	Not right
UNLACE	Prepare to slip out of, perhaps
MEUNIERE	Battered and sautéed in butter
REEVES	Chaucer's "The ___ Tale"
ARS	Skill, in old Rome
ARMSRACE	Cold war worry
SHILOH	Civil War battle site
ERNE	Northern Ireland's Shannon-___ Waterway
ELVERS	Young, transparent fish
REEDY	Slender
HIM	"Get ___!" (victim's cry)
ABA	Org. that included the Kentucky Colonels
BURGOO	Thick, spicy stew
ADDONS	Peripherals
TULLE	Veil material
TUNETO	Find on the dial
UNIVAC	Technological introduction of 1951
LINEBACKER	Red-dogger, e.g.
SIC	Quotation qualification
SANTA	Recipient of many wish lists
ABUD	"Nothing beats ___" (beer slogan)
ACTSIN	Is a part of, as a play
UNIVERSALACCORD	Pacifist's dream
ROMANNOSE	It has a prominent bridge
SWORDS	They have duel purposes
CERTS	Altoids alternative
NINEDOWNONETOGO	"Almost finished," as to a decathlete
EVERYMOTHERSSON	Group with the 1967 hit "Come On Down to My Boat"
TABS	Typists' settings
ARA	Southern constellation
TITOS	Tenor Schipa and others
OCA	Andean tuber
AND	Not only that
AIMED	About to be fired, perhaps
BOSN	Rigging pro
BOLAN	Pakistan's ___ Pass
OTOWN	Boy band with the hit "Liquid Dreams"
COINSLOT	It may be given a slug
OONA	Woman's name that's Irish for "unity"
LARA	Pasternak heroine
NAB	Run in
NTWT	Packing info: Abbr.
ATEE	To ___
BERN	Where Einstein published his special theory of relativity
KOKOMO	#1 Beach Boys hit
KIP	Laotian money
ORA	Mouths
ALOUETTE	Famous French roundelay
UPA	Work ___ sweat
EOS	Canon camera
IRENES	Tony winner Worth and others
RAWPOWER	Brute strength
PARADE	High-stepping occasion?
ANNASTEN	"Nana" star, 1934
