RETARDS	Holds back
RETAINS	Preserves
EXURBIA	It's way out of town
TAGTEAM	Wrestling duo
AMBIT	Scope
RIOS	Jamaica's Ocho ___
DNA	Genes material
SETAPART	Isolate
AQUEOUS	Watery
ABJURE	Recant officially
QUITE	So
URGE	Give a little push
EKG	Ticker tale?
OILLINE	Vital engine conduit
UNEATEN	Left over
SASHAYS	Steps fancily
EXAMINE	Do tests on
BURKINA	Africa's ___ Faso
TUGBOAT	Port sight
JIGGLES	They're not as big as jars
ARTIS	Gilmore of basketball
ACUTE	Grave
COMEAGAIN	"Huh?"
LAH	___-di-dah
IBET	Cynic's retort
SPORE	Reproductive body
SHEIK	V.I.P. from Araby
RITA	She played Gilda in "Gilda"
RAZES	Wrecks
NIA	Peeples of "Fame"
SHAME	It may be dirty
SHOWY	Theatrical
TANEY	Chief Justice after Marshall
TINES	Points at the dinner table
SAMEHERE	"Ditto"
EGADS	"Heavens to Betsy!"
WIZENS	Dries up
WOMAN	"___ of the Year"
GOITALONE	Refuse help
LAMEDUCK	One losing power, perhaps
SQUAWK	Kvetch a lot
SCREENS	Puts on for a certain audience
QUONSET	Hut style
UROLOGY	Surgical specialty
GAMESHOW	Daytime TV offering
HOOPOES	Notoriously malodorous birds
OVERSEE	Manage
WARIEST	Least confident
CURDY	Like Miss Muffet's fare
LAMAS	Saavedra ___ (1936 Peace Nobelist)
LLOYDS	Big name in insurance
OVA	In vitro items
ROOS	Pouch holders, for short
ALIEN	"V" villain
ARRET	French traffic order
GOER	No stay-at-home
GAOLS	British pens
ENL	Certain photo order: Abbr.
FROND	Palm leaf
FETE	Big bash
CAPRI	Site of Tiberius's villa
CLUE	Shoe impression, maybe
ESOTERY	Obscure stuff
TAL	Former world chess champion from Russia
UNLOOSE	Release
NON	"Smoking or ___?"
NEGATED	Countermanded
COULEES	Western ravines
STYLETS	Daggers
KNESSET	Overseas assembly
