SNACKBARS	Stadium stands
SFUMATO	Artist's tone-blending technique, used in the "Mona Lisa"
NINEPIN	Part of some splits
ALLGONE	Spent
CEE	Communist leader?
KNAR	Trunk protuberance
BASIC	Not advanced
AMHERST	Where Hampshire College is
REELIN	Try to land
SSS	Certain card issuer: Abbr.
PASTA	It's sometimes ribbon-shaped
PEYO	One-named Belgian cartoonist who created the Smurfs
ALEC	"The Black Stallion" lad
STAYPUT	Go nowhere
TORTONI	Dessert garnished with crumbled macaroons
ANNETTE	Only Mouseketeer personally chosen by Walt Disney
FILENAMES	They have extensions
ELTON	His tribute to Marilyn was remade for Diana
UNLEASHES	Vents
YEARN	Pant
MEG	2004 U.S. Women's Open winner Mallon
RIEL	100 sen
OOCYTE	Future egg
OPPOSE	Try to block
APOP	Pricing words
PASSAT	Volkswagen model
CRISP	Bracing
SIB	Kindred
POT	Cardsharp's goal
TINAS	Brown and others
SPIKY	Sharply irritating
SNIPEHUNT	Futile search
ELECT	Governor or mayor follower
HOTTIP	Buzz generator on Wall Street
ONESPOT	Ace
ORELSE	Words often accompanied by a 45-Across
BOLOTIE	Range accessory
SIR	What 16-Across has been called since 1998
SET	64 crayons, e.g.
CREAKED	Gave away an intruder, maybe
CDRACKS	Music store array
RIPTORN	Player of Richard Nixon in "Blind Ambition"
ERITREA	Its flag features an olive branch inside a wreath
DOA	1950 film that opens with a man reporting his own murder
SECTORS	Military districts
SKIPASS	What to flash when you need a lift?
OBERLIN	First U.S. coed college
RELIEVE	Spell
STEGNER	Wallace ___, Pulitzer winner for "Angle of Repose"
DIRTYLOOK	Glare
OTIOSE	Idle
TIBET	Whence some spaniels and terriers
RPI	N.C.A.A. rival of Vassar
SATIN	Like some weaves
NONET	Certain jazz combo
PELE	Legendary athlete on the 6/23/75 cover of Sports Illustrated
ATTLEE	Landslide election winner of 1945
LAMP	Miner's aid
ELEE	Part of a noted reb's signature
IPOD	Player in a docking station
DARE	Show pluck
RIG	Gerrymander
CORAL	Lipstick shade
JOANALLEN	Player of Pat Nixon in "Nixon"
JAW	Yak
LTR	Photocopier abbr.
KREME	Word after Vanilla or Chocolate, at Dunkin' Donuts
ASSERTIVE	Forward
SNAPE	Head of Hogwarts School's Slytherin House
WESTERNER	34-Across sporter
