ALTO	Voice above tenor
ADZ	Carpenter's curved cutter
LOWBLOW	Uncalled-for insult, say
THEEDGE	U2 guitarist
OSIRIS	Brother and husband of Isis
STAR	Cross: Christianity :: ___ : Judaism
SOLI	Arias, usually
THIEF	Robin Hood or Jesse James
ASAMI	"Same here"
ROMAN	Director Polanski
DECOR	Interior design
DEM	Obama, e.g.: Abbr.
EXECUTED	Performed, as one's duties
CLEANSE	Purify
OATMEAL	Quaker breakfast offering
RXS	Prescriptions, for short
DOHS	Cries from Homer Simpson
OHSO	Very very
EXLAX	Going brand?
ZWEI	Number between eins and drei
LIAM	Neeson of "Clash of the Titans"
MEETS	Track-and-field events
BERNIEMAC	*"Ocean's Eleven" actor
NEO	Keanu Reeves's role in "The Matrix"
CEE	Middling grade
CAM	Follower of spy or web
OLDIE	Any Beatles song, now
OLE	Chilean cheer
FINETUNES	*Tweaks
TARO	Poi source
STS	Aves.
LOGSON	Enters Facebook, maybe
NSC	Foreign policy grp.
EATSAT	Annoys incessantly
EWE	Female flock member
SHAQ	N.B.A. nickname
HAJ	Pilgrimage to Mecca
APU	Kwik-E-Mart clerk
QED	Proof ending
REELS	Film units
ESCAPEPOD	*Small sci-fi vehicle
ESTEEMED	Well-regarded
SEEP	Fall through the cracks?
PDQ	A.S.A.P.
POSSE	Rapper's crew
PTS	A TD is worth six: Abbr.
OOHLALA	"So beauuutiful!"
SPOILER	Unwanted plot giveaway
JUDD	Director Apatow
DAM	Obstruction for salmon
DREAMON	"Yeah, like that'll ever happen"
ATEDIRT	Groveled
MOM	Blondie, to Alexander and Cookie
TOPTEN	Culmination of a Casey Kasem countdown
NHL	Rangers' org.
QUARTO	Book size
UGH	"That's awful"
ALPACA	Fleecy fiber
SHOEPHONE	*"Get Smart" device
OATES	Hall's musical partner
NUEVO	___ Laredo, Mexico
ENTER	Go in
GLEEM	Toothpaste with "green sparkles"
LIE	Falsity
LAUNCHPAD	*Blastoff spot
CENT	50 ___ ("Candy Shop" rapper)
PALMS	Uses sleight of hand on
PST	Winter clock setting in Nev.
SKY	Heavens
TETE	Head of Québec
AMIE	French girlfriend
EYE	Storm center ... or, phonetically, letter that can precede the ends of the answers to the five starred clues to spell popular devices
SLEEK	Aerodynamic
EVEN	Tied, as a score
CORY	"Boy Meets World" boy
TARDY	Late
SORT	Organize alphabetically, say
ANTE	Chips in the pot
