BARB	Fishhook feature
BORE	Use an auger
ATOM	Positron's place
ROMP	Easy win
BEATSIT	Gets lost
SABOTS	Clogs' cousins
STING	Overcharge
ARLEN	"Stormy Weather" songwriter
BELTS	Waist circlers
OBIS	Waist circlers
TEN	Lacrosse quorum
SKIBOOST	Sun Valley lift?
TAB	File folder feature
THEBETSMAN	Jimmy the Greek?
AURA	Nimbus
BEAR	Den denizen
OTOE	Siouan speaker
TREBEK	Man with all the answers?
HUE	Cry's companion
ROMA	"Touched by an Angel" star Downey
ILLINI	"Fighting" N.C.A.A. team
ERA	Depression ___
EMPTYNETS	Fisherman's woe?
YIN	Dark half of a Chinese circle
BABAR	Fictional pachyderm
ASP	Warbucks's henchman, with "the"
SIGNS	Indications
LOSE	Come in behind the others
LINED	Like a gridiron
ATEIN	Had a TV dinner, say
ATSEA	Perplexed
THORN	Brier feature
EATSOFEDEN	Adam's apple?
DIOPTER	Eyeglass prescription measurement
DIKE	Sandbag stack, maybe
ELATE	Tickle
RYDER	Golf's ___ Cup
THAT	"___ depends..."
SWAINS	Beaus
SHALE	Oil source
WILY	Cunning
ACT	Take steps
SLY	Cunning
SOT	Barfly
THICKET	Brushwood
TSARKIST	Russian monarch with lipstick marks on his cheek?
MAD	Like King George III
ERS	Triage sites, briefly
SALTED	Like margarita glasses
GATE	Slalom obstacle
GOSOUTH	Leave for the winter, say
ANOMALY	Odd occurrence
MIA	One to remember, for short
BONER	Foul-up
BBC	"Fawlty Towers" airer
FIRE	"Open ___!"
SCABS	Picket line crossers
SOPUP	Absorb
CLOSE	Intimate
ADDED	Part of V.A.T.
SNEAK	Snake in the grass
SNAP	Kind of judgment
NOPE	"Forget it!"
GOLDCOATS	Lamé wear?
GOOP	Sticky stuff
AHOY	Yawl call
TODD	Sondheim's Sweeney
SHOE	It's about a foot
NOD	Affirmative action
ISOPOD	Pill bug or wood louse
SPA	Workout locale
UHOH	Bad thing to hear at a checkup
APE	Copy
SPOUSE	Better half
TODO	Hoopla
PEN	Compose
TAPPED	Drew upon
HYDE	Stevenson scoundrel
