SPACED	In a fog
STAGS	Harts
PESETA	Coin of Córdoba
ANEMIC	Lacking in substance
CUP	Trophy
ETA	Pilot's projection: Abbr.
DART	Blowgun ammo
STIES	Fattening sites
SPELLED	Relieved
TIP	Service award
IRA	401(k)'s kin
EACH	Singly
SLEEPY	Happy colleague
VASSAR	School founded by a brewer
VIES	Competes
ARM	Radius setting
SLOGANS	Campaign poster inscriptions
SINISE	Gary of "Forrest Gump"
ANDRES	Guitarist Segovia
REELS	Cassette parts
TENUTA	Comic Judy
SPIRAL	Fusilli's shape
STAID	Sobersided
AIRLINE	Delta, for one
ALLOFME	1984 Steve Martin/Lily Tomlin film
ASEPARATEPACE	John Knowles book about the tortoise's winning strategy?
AENEAS	Dido's love
LEMONDE	Paper launched in 1944
GEM	Its setting is a setting
TEAL	Color close to aqua
HEALS	Makes sound
AROAR	Like appreciative fans
GIRL	Slumber party guest
STINK	Public outcry
NOLTE	"Jefferson in Paris" star
KNEEL	Use a prie-dieu
NILES	Frasier's brother
ERESTU	1974 foreign-language hit
SAVOIR	Knowledge, in France
PRO	Debate position
BASES	Diamond corners
BUSTLES	Stirs
ACONFEDERACYOFDUNES	John Kennedy Toole book about a desert union?
FIRST	Historic event
COLON	Upended umlaut
DINAH	Alice's cat
LEIA	Luke's sister
DEVO	"Whip It" singers
AMISS	Wrong
METERS	Parkers plug them
MACHINE	Kind of shop or language
ENCODED	Prepared for transmission
SOL	Peruvian coin
RENT	Musical based on "La Bohème"
HES	"___ So Fine"
HORNSIN	Meddles
EVENING	Vespers time
SEWING	Ross's forte
PANELS	Discussion groups
PATROL	Recon unit
RATIOS	Sine, cosine and tangent
REAP	Win
ATARI	"Computers for people" company
SOLDO	Old five-centesimi coin
ALCOVE	Recess
CCU	Heart ward, for short
ACC	Duke is part of it, for short
THETURNOFTHECREW	Henry James story about a mutiny?
HAD	Swindled
FEIN	Sinn ___
TIC	Behavioral quirk
THONG	Minimal swimwear
NET	Clear
GAWKERS	Rubbernecks
AAA	Tour-planning org.
LEI	Island ring
SUNNI	Islam's largest branch
RIDEANDPREJUDICE	Jane Austen book about Rosa Parks?
NONCE	Time being
ERWIN	Field marshal Rommel
JOEDON	Actor Baker
UNSAFE	Precarious
EATEN	Corroded
SIN	Moral misdeed
ONETWO	Ring combo
IRONON	Patch sort
ACTING	Strasberg subject
CREAK	Floorboard sound
TIEIN	Soundtrack album, e.g.
LED	Was a pioneer
KNOB	Door feature
OUTRAGE	Scandal reaction
BRUIN	Bobby Orr, from 1966 to 1976
WES	Horror director Craven
STRING	Kite-flying need
SEESAW	It has its ups and downs
RECUR	Be cyclical
REREADS	Enjoys a favorite book
IDAS	Writer Tarbell and others
STRAUSS	"Die Fledermaus" composer
EEEE	Superwide shoe specification
THERETURNOFTHENAIVE	Thomas Hardy book about a taxpayer's deductions for groceries?
TEARUP	Shred
HELENA	"All's Well That Ends Well" heroine
ROTTER	Cad
HORNE	"Deed I Do" singer
VICUNA	Andean beast
ESPRIT	Morale
SEERS	Prophets
SHAMS	Pillow covers
RIO	City on Guanabara Bay
NEROS	Pianist Peter and family
KNISH	Doughy snack
HAYES	He introduced the Easter egg roll on the White House lawn
HALE	Robust
SANTO	Start of many Latin American place names
SUNS	Stars
OHNO	Cry of despair
ARAB	Dubai native
BABA	Rum cake
CPA	Filing asst.
AREARUG	It's not wall-to-wall
RAM	Fishes-Bull go-between
THERUNWAYJURY	John Grisham book about fashion show critics?
ECO	"The Island of the Day Before" author
RAT	Snitch
YET	In addition
JAB	Quick punch
MUNDANE	Ordinary
ENCASE	Sheathe
BEANIE	Frosh topper
SPASMS	Sudden contractions
ROOTS	TV event of January 1977
ATBATS	Baseball card number
