NICHE	Specialty
NOSHED	Took the cake, perhaps
INLOVE	Smitten
CHOPIN	"Fantaisie" composer
HEP	In the know, old-style
ERECT	Standing
RHODA	1970s sitcom that included Carlton the Doorman
ROMAIN	1915 Literature Nobelist ___ Rolland
HRE	Realm ended by Napoleon: Abbr.
ORNO	"Yes ___?"
DISPROVE	Confute
ANACIN	Tylenol competitor
IOWE	"___ you one"
ITSTO	"___ die for"
OUTSTARE	Defeat in a don't-blink contest
WBA	Tate and Bowe were once champions of it: Abbr.
EBB	Decline
ONHER	"___ Majesty's Secret Service"
ORRIN	Hatch in the Senate
TUBB	Country music pioneer Ernest
SLOPE	Boarding place?
MENSA	Test group?
STAB	Attempt
HOP	Short trip
CSA	Civil War inits.
SWAMI	Person often pictured with crossed legs
OPCITS	Some footnotes, for short
ICEBOX	Where trays may be stacked
EVILTWIN	Person on your bad side?
LYNCH	"Dune" director David
NETTLE	Irritate
RICOTTA	Cannoli ingredient
TOYS	Santa's sleighful
ALL	"Is that ___?"
DENY	Contradict
ANEMONE	Flower of the buttercup family
MOHELS	Bris parties
AOL	Gmail alternative
NOM	Passeport info
OKEEFE	Michael of "Caddyshack"
TOV	"Mazel ___!"
BERYL	Green gem source
EXPAT	American in Paris, perhaps
JACKINTHEBOXES	Some surprises ... and what you'll find in the circled areas of this puzzle
JOSE	Singer Feliciano
ASTERISK	What a record may have
NOTTODAY	"Another time, perhaps"
BEENE	Designer Geoffrey
MOSHE	Israel's Dayan
MED	Kind of school
OLE	___ Miss
EXP	Superscript number in math: Abbr.
EST	More than -er
ESTELLE	Woman in Sartre's "No Exit"
SABOTS	Cousins of clogs
LOWEND	Subwoofer's zone
ASST	Number two: Abbr.
SIRIUS	Bright spot in Canis Major
SNOCAT	Back-country winter transport
TACKLE	Take on
DEEPFAT	Doughnuts are fried in it
PERPS	They did it
SONATINA	Short piano piece
ASKUP	Invite to one's penthouse, say
REEBOK	Shoe brand named for an antelope
KILN	Oven
WES	Former N.B.A. star Unseld
ROC	Hip-hop's ___-A-Fella Records
PAIR	It's better than ace-high
PRY	Meddle
AAA	Org. with a sign at many motels
ODILE	Tchaikovsky's black swan
LOO	Head of Buckingham Palace?
KNICK	Madison Sq. Garden player
NSA	Secretive org.
RASP	Woodworking tool
TALON	Branch gripper
USUAL	Regular's request, with "the"
YAKS	Goes on and on
SYNOD	Religious assembly
PASTE	Word-processing command
