WAAH	Crib cry
WART	Target of salicylic acid
ALAI	Jai ___
ABIE	Title fellow in a 1922 Broadway hit
HANDSAWS	Shop tools
ISIAH	N.B.A. Hall-of-Famer Thomas
IRONON	Like some transfers
SORTOF	In a way
IDEOLOGY	Communism, for one
AES	Two-time loser to D.D.E.
HOTS	Intense attraction, with "the"
TIDAL	Like some waves
TOPROW	1, 2, 3, 4, 5, etc., on a standard keyboard
ILLUSE	Mistreatment
DIAM	Geom. measure
AVI	Prefix with fauna
LENDL	Three-time U.S. Open champion
SHAM	Pillow cover
SMOLDER	Barely contain one's anger
HELLOAGAIN	"Oh, you're back"
ASKANT	Obliquely
MASSES	Hoi polloi, with "the"
ALBA	Jessica of "Fantastic Four"
RODEO	Where to go for the big bucks?
OLIVE	Item on a toothpick
MESA	La ___, Calif.
RAINFOREST	It has a large canopy
FITIN	Belong
PLAINFOLKS	Average Joes
FALSE	Like some starts
TIEDINTO	Connected with
SCRUM	Rugby action
CHOP	Dice
DALLAS	Where 7-Eleven is headquartered
STOOLS	Counter view?
SLOANE	Everett of "Citizen Kane"
HOS	Christmas sounds
ALLDONE	"Finished!"
ASKOF	Request from
MCCAINFOLLOWERS	Republicans in 2008
MSDOS	Windows precursor
CHART	Patient record
CAIRO	Home of the mask of King Tutankhamen
LUNA	Old Coney Island's ___ Park
REDNECK	Frequent Borat target
SEATS	See 104-Across
SHAWN	William ___, longtime editor of The New Yorker
GOUP	Increase
EKBERG	Mastroianni's co-star in "La Dolce Vita"
BIO	Library section, for short
DAIS	V.I.P. locale
DAYAN	Six-Day War hero
DEPT	State, e.g.: Abbr.
ATIE	Play to ___
SODOI	"Me too"
SKIS	Takes to the hills?
OID	Meteor trailer?
AAA	Battery option
ANI	"Wheel of Fortune" request
AGE	Obituary datum
ORR	Bruin great
VET	Lab inspector?
VENTI	20-ounce coffee size
NAPKINFOLDING	Busboy's assignment
PATTI	Page of music
LEADS	Does Rudolph's job
DRNO	1962 film set partly on Crab Key
STOVEPIPE	Lincoln trademark
VISA	Discover alternative
PRIORTO	Before
AIDE	One who might be left holding the bag?
ERNIE	Sesame Street resident
INTER	Lay to rest
PTS	N, E, W and S
PITY	"A woman's ___ often opens the door to love": Henry Ward Beecher
CONAN	Title role for Arnold Schwarzenegger
OEDS	Lib. references
NYET	Dmitri's denial
BREST	French seaport
BRO	Good pal
REX	Reagan White House dog
EGOCENTRIC	Having I trouble?
IMIT	Not orig.
MOO	Jersey call
OKEYDOKEY	"You bet"
OGDENS	Nash and others
KRONA	Money in Malmö
EATEN	Put away
YESED	Was sycophantic to
REGAINFOOTING	Stop a trip?
NEW	Just out
FLATT	Scruggs's partner in bluegrass
NOTI	"Don't look at me!"
DES	Avenue ___ Champs-Élysées
RAE	Charlotte of "Diff'rent Strokes"
OXO	Big name in kitchen utensils
ELROY	Boy's name that means "the king"
ODIST	Horace, e.g.
INFERIOR	Second-rate
ROTS	Goes to hell
REHEARSE	Run through
CLAWAT	Attack, bear-style
LASAGNA	Trattoria offering
AROMA	Kitchen draw
STEN	British gun
SPAR	Lock horns (with)
RENEE	___ Vivien, British poet known as the Muse of the Violets
RETRO	Back in
SMEAR	Makeup boo-boo
SCUBAS	Explores with a tank
MONAMI	French term of address
TOPSPINFOREHAND	Rafael Nadal specialty
PAGODA	Taoists' locale
SHORED	Held (up)
ONENIL	Low soccer score
RAFFLE	Fund-raising option
CONSORT	Associate
REIMS	Old French coronation city
AHA	"Gotcha!"
SENATE	With 40-Across, some Election Day prizes
UNTAME	Wild
AGORA	Lead-in to phobia
AFAR	Miles off
AJAM	Stuck, after "in"
REFRAINS	"Fa la la la la la la la la" and others
ICON	Che Guevara, e.g.
NEWT	House speaker between Tom and Dennis
SSNS	Some employment records: Abbr.
BARGAINFOR	Expect, everything considered
NET	It's not gross
JOINFORCES	Unite
OBE	U.K. award
AMIN	Whitaker's Oscar-winning role
MEADE	Army of the Potomac commander during the Civil War
ABOIL	Seething
SOWN	Put in the ground, in a way
SICA	Director Vittorio De ___
STRAD	Prize for Paganini
MERLE	Country singer Travis
ENTS	Tolkien tree creatures
