WAS	Is in another form?
WEDS	Makes one
AMOEBA	It forms food vacuoles
STREET	It may be curbed
ADAM	Rodin sculpture at the Met
AUDACITY	Nerve
DRAGONS	Chinese parade features
ADHEM	Leigh Hunt's "Abou Ben ___"
MUS	Some fraternity chapters
EDNAS	Best and others
EYEBEAM	Superman's revealing piercer?
DELUXE	Very fine
NAY	Formal refusal
ASSISTON	Help with, as a project
STEARATE	Zinc ___ (ointment ingredient)
EMT	Accident scene arrival: Abbr.
URDU	Hindi relative
YEASTS	Brewers' needs
SEMITES	Arabs, e.g.
DOR	See 32-Across
DAHS	Morse T's
ELYSEE	Parisian palace
SEEDAGE	Method of plant propagation
DEEDAY	Time to honor Sandra?
ABU	___ Simbel, Egypt
ALLIN	Bushed
IAM	Cartesian conclusion
BEECOMPLEX	Apiary?
PAROLEE	One out?
SRI	Mr., in Mysore
ATEIN	Saved on supper, perhaps
ALAE	Winglike appendages
TAT	Make doilies
DTS	Shaky problem
RIM	Court target
COTE	With 17-Across, Dijon's department
CUETIP	Pool ball hitter?
SPRAY	Decongestant, maybe
SARAWAK	Malaysian state
PRESAGES	Harbingers
RAMSHORN	It's blown on Yom Kippur
TON	Mountain
TEVYE	"If I Were a Rich Man" singer
DUNES	Saharan sights
DIETSODA	Tab, e.g.
ARAY	Like ___ of sunshine
TEL	___ Avivian
TEABILL	Charge for an afternoon social?
PIE	Three Stooges prop
PLAITER	Cornrow creator
REM	"The One I Love" singers
SEVE	Golfer Ballesteros
SKATER	Ice lander?
LETGO	Ax
GOETHE	"Roman Elegies" author
ONERUN	Like some ball games
ASS	Ninny
KAYERATION	Danny's allowance?
RHODE	___ Island
WAH	"Do ___ Diddy Diddy" (1964 hit)
ABE	Justice Fortas
HISPEED	Fast, informally
DIDO	Prank
AGOUTI	Rabbitlike rodent
UNA	"___ voce poco fa" (Rossini aria)
TOTO	Fictional terrier
TOV	Mazel ___
TRI	Prefix with athlete
KERNEL	Gist
ODED	Took too much, briefly
HUD	Cabinet dept.
SNARL	Boxer's threat
VERA	"White Christmas" dancer ___-Ellen
ENO	Ambient music pioneer
