ASHCAN	Sub sinker
ASPARAGUS	Shoots in the garden
SHAREWARE	Sample applications
HERBALTEA	Chamomile drink
CAROL	Noel
AVERTS	Turns away
NED	Nancy Drew's beau
AMPERAGE	Current strength
ATALE	"___ of Cinderella" (1994 musical)
MARS	Sojourner's resting place
PIMA	Sheet cotton
ELY	Seat of White Pine County, Nev.
ROADATLAS	A.A.A. offering
ARNAZ	Ball mate
GETME	"See my point?"
EDSEL	Ford scion
SHEAVE	Gather, as wheat
TAILORED	Personalized
PARRED	Hit the norm, at Inverness
ARMYANTS	Little troopers
ARBOR	Bower
ELSA	Designer Schiaparelli
EMBASSY	Part of a Washington row
DAME	Broad
REALTIME	With no chronological lapse
IOWANS	Amana folk
HAZEL	Eye hue
HOR	TV adjustment: Abbr.
AWL	Punching item
SOB	Blubber
ALOT	Rafts
ADDENDA	Back-of-the-book list
LEERED	Acted like a creep, in a way
GATS	Gangster pieces
SYMBOLISM	Use of metaphors
WANDERLUST	Traveler's itch
NIT	Postseason contest, for short
USHERETTE	Old-style theater guide
STOLEAWAY	Skedaddled
TITLEROLE	Biggest part, usually
UREY	1934 Chemistry Nobelist
ASIDE	"Stand ___!"
ASTI	Sparkling wine source
SEAMONSTER	Terror of the deep
OUT	Revealed
SHOT	Attempt
BUSY	Toiling away
NES	Nintendo's Super ___
SEANCE	It may raise spirits
ELL	Pipe type
ASCOT	Noted Berkshire heath
ATTIC	Loft
SEHNA	___ knot, used in rug weaving
CLEAR	Defibrillator's yell
MDDEGREE	Surgeon's sheepskin
METER	Gauge
GREED	Love of dough
TELL	Tattle
ODEA	Roman music halls
OINK	Sow sound
DOSE	2 mg, say
AREAR	Toward the back
THEIDIOT	1868 Dostoyevsky novel
DEA	Traffic-stopping org.
ONETWO	Pair of socks?
OAR	Crewman
INASENSE	Somehow
ACETAL	Compound used in perfume manufacture
CARMAKER	Coupe producer
REDEYE	Wee-hours trip
