XAMOUNT	An unknown quantity
XGAMES	Annual event that includes wakeboarding
ARCADES	Tokens are taken in them
MACRAME	Knotty activity
OPUS	Symphony, say
UPS	It was founded as American Messenger Co.
NLERS	Cards, e.g.
TERESA	Blessed Mother
WHIZKID	Early bloomer
WHITEOUT	Like some conditions
HARES	Fast runners
IVOR	"War's Embers" poet Gurney
ZEN	Kind of state
KOOLAID	It's pitched by a pitcher
INRANGE	Get-at-able
DEEPENS	Dredges
GRAPPLE	Try to deal (with)
HAVEONE	Serving suggestion
ACCUSER	Plaintiff
IRONORE	Taconite, e.g.
MARS	Land of Opportunity?
RENTER	One who deals with letters
NUMBERONE	Big hit
LAP	Clipboard alternative
EDA	Author LeShan
ISSUES	Bones to pick
ISOPOD	Sow bug or wood louse
CANE	Support provider
CLIENT	Customer
SEMIS	Finals preceder
INSOLE	Pump part
AMO	Latin 101 word
ALIGN	Set straight
ARREST	Record listing
SENOR	What to call un hombre
RAN	Functioned
BUSRIDES	Preschool activities
SIM	___ City (Maxis game)
SPARETIRE	Jack accompanier
RELAPSES	Backslides
SCHOONER	Draft holder
SANJOSE	Sharks' home
CHARLES	River crossed by the North Beacon Bridge
HOTSEAT	Uncomfortable position
MENSA	Bright circle?
SARALEE	Cake name
ARTSIER	Relatively affected
AHOLD	Get ___ of
LOS	___ Lagos (region of Chile)
SCRIPT	It has entrances and exits
STARR	Subject of James Carville's "... And the Horse He Rode In On"
RECESS	Break
NATE	"Great" detective of children's lit
LANCET	Incision maker
LISLE	Stocking material
ESTEE	Compact name
RTE	Abbr. in some directions
JRS	Yearbook sect.
PIPERS	"Twelve Days of Christmas" group
PITT	Two-time designee as People's Sexiest Man Alive
MASC	Like Spanish "eyes," e.g.: Abbr.
MAWS	Big mouths
OLEMISS	Annual Egg Bowl participant
MTA	Letters on some N.Y.C. maps
ITSALIE	"I did no such thing!"
SEA	Main
SEATTLE	___ Pilots, original name of the Milwaukee Brewers
PEEWEES	Squirts
ESTATES	They're left behind
TEASERS	Previews
