SLURS	Disparaging comments
SHANIA	First name in country music
LISTEN	"You're not paying attention!"
UNFELT	Like quakes of magnitude 2.0 or less
RUANDA	___-Urundi, former U.N. trust territory in Africa
SPINES	Library patrons read them
ASPISH	Viperine
ASPIRATE	What a Cockney may not do
SHINEBOX	Bootblack's need
PINAFORE	Child's flouncy apron
INTRUDES	Meddles
STOUTER	More valiant
HOSTESS	First lady, often
CHINUPS	They require you to pull your own weight
CHAFF	Tease good-naturedly
STARTREK	TV show with the most spinoffs, according to the Guinness Book
SHINTO	Literally, the way of the gods
HASFAITH	Believes
HESSE	"Siddhartha" author
PINTOS	Recalled things from the 1970's?
ANTENNAE	Features of a Martian costume
INARUT	Not showing much creativity
FIELDERS	Fly catchers
REFUTE	Prove wrong
FANTASTS	Visionaries
ABODES	Flats, e.g.
RESTORERS	Antique shop employees
SHRILLER	Less pleasing to the ear
GRACE	"___ is more beautiful than beauty": Emerson
GOSHDARN	Confounded
RESENTED	Took exception to
AMARETTO	Rich ice cream topping
CATERESS	Job title for Blondie, in the comics
HEXES	Casting choices?
SHOEMAKER	Last person, professionally?
SHARPER	Expert gambler
HIDALGO	Spanish nobleman
EMBAR	Hinder
HISSAT	Express disapproval of
MISSILES	Falcons and Patriots, e.g.
SULTAN	Mideast V.I.P.
SESAME	With 41-Down, cooking oil source
INTIME	Sooner or later
LOANED	Advanced
ESTERS	Aromatic compounds
SEEDS	See 37-Down
ADHERE	Cleave
BLUENOSE	Strait-laced sort
RADNER	Original "S.N.L." cast member
ALLSTATE	Its logo is a pair of crossed hands
PLATTE	River followed by the Oregon Trail
RETAINED	Kept on
EGRETS	Birds with valuable plumes
RAMMERS	Compaction tools
RONDOS	Sonata closers, often
NEEDS	Food and water
