FEMA	U.S. disaster relief org.
FAR	Distant
EXIT	Lighted sign above a door
MESH	Net
ASKED	Posed, as questions
SNAP	Crackle and Pop's companion
SPEAKOF	Mention
NODS	Agrees nonverbally
ALIT	Disembarked
PETE	___ Best of the pre-Ringo Beatles
HASTA	"___ la vista, baby!"
HASBRO	Owner of Scrabble
ACQUITTAL	Result of a "not guilty" verdict
STUN	Gobsmack
TOAN	Means ___ end
ARTY	Pretentious
AXES	Lumberjacking tools
POLE	Gondolier's need
ACTOR	Thespian
RISK	Jeopardy
EDIT	Step after "write"
SQUAT	Baseball catcher's position
THEEASTERBUNNY	Spring egg distributor
EIGHT	Start of prime time, generally
RELY	Depend (on)
DIK	Cartoonist Browne
ERI	Verdi aria "___ tu"
STP	Gasoline additive
STICK	Adhere
TONYA	Skater Harding
POLAR	From the extreme north and south of the earth
GOB	Wad of gum
BAHAI	Persian-founded faith
FLOTSAM	Jetsam's partner
FROTH	Possible sign of rabies
SILAS	George Eliot's "___ Marner"
ANOUT	Provide ___ (allow to escape)
MENSA	Group for geniuses
TOOTHFAIRY	One who leaves money under a pillow
TENACIOUS	Stubborn
ION	Charged particle
TINE	Fork part
INLET	Cove
HOO	"Yoo-___!"
SALON	Beauty parlor
SCOUR	Search high and low
CYAN	Greenish-blue
SANTACLAUS	Head of a major toy outfit
SHIV	Prison weapon
ABDOMEN	What situps tighten up
KARACHI	Largest city in Pakistan
CHENEY	Biden's predecessor as vice president
HBO	"Big Love" airer
STA	Depot: Abbr.
CHI	Greek letter X
DUE	Kind of date for an expectant mother
ENTER	Write in
BELIEVEITORNOT	Ripley catchphrase that's apropos to 20-, 34- and 42-Across
BEAM	Smile from ear to ear
EYRE	Rochester's beloved governess
LEGS	Pants parts
ESTE	Villa d'___
IPOD	Apple MP3 player
TAME	Domesticated
OOZE	Seep
TURN	Chance to play in a game
EYEON	"Keep your ___ the prize"
SPAM	E-mail woe
TOUR	Band's schedule
RAT	Mafioso informer
ARGUE	Disagree (with)
TOME	Heavy book
EZRA	Poet Pound
MESSY	Sloppy
EDEN	Adam and Eve's first residence
RENT	Landlord's check
