PADS	Linemen's protectors
PLAZA	Public square
AIRED	On TV
DONNAFARGO	Country singer from North Dakota?
SNO	___-Cat (off-road vehicle)
PRISM	Light-refracting crystal
PHOTOS	Snaps
RANI	Indian princess
IRES	Infuriates
START	Get the ball rolling
METEORIC	Momentarily dazzling
WEDS	Marries
WISDOM	Opposite of ignorance
ETUI	Sewing case
DAMN	Cousin of "Phooey!"
SLOG	Wade (through)
LION	Coward in "The Wizard of Oz"
HARTE	Author Bret
ITAL	Like slanted type: Abbr.
ARNO	The New Yorker cartoonist Peter
ONEAT	___ a time (individually)
SUMO	Kind of wrestling
ZEN	Buddhist discipline
OTISREDDING	Soul singer from California?
OILS	Works at the Louvre
DRAM	Short drink
ADAGIO	Slowly, to a conductor
GOLD	Olympian's quest
TORO	Bullfight bull
FOLSOM	California prison
ODOR	Nose tickler
MENAT	___ Work (road repair sign)
RAMJET	Big airplane engine
JOHNDENVER	Folk-rock singer from Colorado?
ERAS	Great times
TOME	Scholarly book
OPALS	Lustrous gems
OLDS	Cutlass or Eighty Eight
POOH	"Tush!"
DENIM	Levi's material
NILE	Christie's "Death on the ___"
ORO	Coronado's gold
LORD	Prayer opener
SONIC	Kind of boom
SUNDANCE	Big film festival name
SHAM	Fake
SEES	Envisages
DOG	Greyhound, e.g.
AURAL	Heard, but not seen
AUDI	Autobahn car
SENSE	Intelligence
STUN	Flabbergast
SHOGUN	Old-time Japanese governor
GOTMAD	Became angry
TESTED	Tried and true
SMILES	Beams
ODDS	"What are the ___?"
SUERS	Litigants
MUSEUM	St. Petersburg's Hermitage, e.g.
UBOAT	German sub
MANSE	Parsonage
PATTIAUSTIN	Pop singer from Texas?
PALL	___ Mall (London street)
ALIA	Inter ___
TURN	Become a traitor
SPAS	They'll get you in hot water
TATE	Noted gallery
NBA	Wizards and Magic org.
ALUM	Grad
NEPAL	Mt. Everest locale
AVON	"___ calling"
ATA	___ loss for words
LIRA	Italian money
CRATE	Jalopy
TEAS	Darjeeling and oolong
LAND	Hit the runway
ESSES	Snake shapes
ARTE	Johnson of "Laugh-In"
