ATTACHE	Court case?
ABUSED	Was addicted to
TORERO	Lord of the ring?
TOBAGO	English-speaking island in the Caribbean
ASAN	___ aside
CTN	Smoker's purchase: Abbr.
HED	"___ let us in, knows where we've been" (Beatles lyric)
EREBUS	Cavern on the way to Hades
PENPAL	Friendly correspondent
PEDRO	California's San ___ Bay
EMO	Modern music genre
NER	___ Tamid (synagogue lamp)
PRAWNS	Some scampi
AGNES	Infamous 1972 hurricane
LETBE	Don't bother
CAPGUN	Toy that goes "bang"
CARAVAN	Desert parade
ARIGATO	Thank you, in Tokyo
PIPET	Lab tube
GOSSIPER	Dirt spreader
USA	Can. neighbor
NOW	"I said ___!"
BOOSTER	Rocket stage
EMERGE	Develop
ARIOSO	Melodic
URBANDEODORANT	Protection in the city?
OAR	It might go for a dip in the ocean
RIPSAW	Cut with the grain
SEAN	Playwright O'Casey
BAR	Keep out
WEBPAGES	Surfer stops
PREYER	Wolf or shark
ERG	Work unit
NEUROCONSERVATIVE	Traditional brain doctor?
NANU	When repeated, Mork's TV sign-off
EDER	Linda of "Jekyll & Hyde"
CAPN	___ Andy ("Show Boat" role)
OLEG	First name in fashion
VERA	Miles of film
ETS	Some warriors in "War of the Worlds"
DOODADS	Thingums
DECAL	Transfer
ALS	Singer Jarreau and others
EAT	Take in
PET	Pique
ENE	Nantes-to-Paris dir.
MOPE	Brood
MYEYE	"As if!"
OIL	Salad topper
KEYNOTERS	Convention V.I.P.'s
KAUAI	Where "South Pacific" was filmed
EMT	CPR giver
TEEN	Bar mitzvah boy, for one
THECURRYINGGAME	What Indian cooks play?
TAELS	Asian weight units
HUNCH	Suspicion
ERODE	Lose ground?
REAR	Behind
GOERS	Busy people
ERA	Tide competitor
AURA	Mystique
EEL	California river named for a fish
OUTRAGE	Major injustice
AMES	Singing brothers' name
GEST	Daring deed
ENOLAGAY	Historic plane
ABLE	Fit
GUAR	___ gum (thickening agent)
SHEA	Home of a '69 "miracle"
SURER	More likely
HBO	Where to dig "Six Feet Under"
MENSCH	Decent fellow
SHAKO	Plumed hat
COLIN	Quinn formerly of "S.N.L."
HOKEY	Contrived
LCD	PC display
BUREAUBRIDGES	Federal government connections?
APLUS	Highest mark
DFLAT	Key of Prokofiev's Piano Concerto No. 1
GAIT	Way to go
HOO	Sob syllable
SHEILA	Australian lass
IPSO	___ facto
PROS	Mavens
FASTTALK	Try to snow
TOMEI	Marisa of "Alfie," 2004
PERCALE	Sheet fabric
CHASTE	Opposite of loose
AOL	Big mail deliverer
ALI	Iranian ayatollah Sayyed ___ Khamenei
AMA	Org. for life savers
OKIE	Panhandle migrant
MSS	Work for eds.
MONO	Like old recordings
SLOWPACE	It's far off the record time
HOURLYMATRIMONY	Schedule at a Vegas chapel?
LSAT	Future atty.'s hurdle
YELP	Canine cry
ROUT	Win in a walk
INDY	1980's movie hero, informally
COLONIALS	George Washington University athletes
COT	Camp sack
NOWORSE	Unchanged
ICINESS	Chill
SEAT	Backside
ONE	Indivisible
ONO	"Double Fantasy" singer
OCS	Producer of lts.
JAL	Tokyo carrier, for short
JUSTSO	In no other way
NUDISTS	Adam and Eve, presumably
NIPSAT	Tries to bite
SOLUTE	Sugar in coffee, e.g.
TOURED	Barnstormed
SHEEDY	"The Breakfast Club" co-star, 1985
TOWNWITHOUTPURITY	Sodom or Gomorrah?
NIGER	River through Mali
HEALS	Makes better
ORLOP	Lowest deck
USEON	Hit with, as a pickup line
RID	Free
OOH	Cry of wonder
PIONEERS	Goes first
SIP	Thimbleful
SLUE	Swing around
STAG	Like some shows
MEAGRE	Scanty, in Scarborough
MAS	More, in Mexico
ECT	Outside: Prefix
ALTEREDSTATURE	Result of wearing high heels?
EEK	Reaction to a rodent
RTE	A.A.A. idea
TER	Prescription notation
ARA	Altar in the sky
ACCESS	Get to
LOSETO	Be upset by, say
AERATED	Purified, as water
STERES	Cordwood units
SPOKEN	Like slander
TRAGEDY	"Timon of Athens," e.g.
