ANKARA	Turkey heart?
ANOTHER	"Hit me," in blackjack
NICOISE	Like some salads
KNEEPAD	Bit of football gear
AJA	1977 double-platinum Steely Dan album
RANGE	A to Z, for one
ASSET	Loan security
INAFLASH	Pronto
IWISHIDSAIDTHAT	Envious wit's remark
NANOOK	"___ of the North" (1922 film)
ADDUP	Total
FEET	Paws
LIN	Alabama's Civil Rights Memorial architect
ANIMATE	Enliven
STAINER	Furniture worker
HOLLERS	Cries out loud
NINJAS	"The Last Samurai" extras
WADEINTO	Begin energetically
OCEANS	Oodles
INDENIAL	What many an addict is
TOE	Nail holder
GETSOUT	Leaves
TYPEE	Novel subtitled "A Peep at Polynesian Life"
MIL	G squared?
HIPPETYHOP	Bunny's pace
PUFFERY	Hype
LANE	Pool division
LABORER	Drudge
ESAU	One reconciled in Gen. 33
PIK	Water ___ (oral-hygiene product)
HATER	Misogynist, e.g.
HALO	Light ring
REDFACED	Flushing
ALES	Some pintfuls
CIS	U.S.S.R. successor
SABERS	Some are rattled
SOT	Lush
FLIESSOLO	Takes off on one's own
SULFA	Infection-fighting drug
ADFEES	Commercial charges
AWESOME	More than cool
DEMOLAY	International young men's club
FALLDUE	Become payable
AUTORACE	Venue for a smoking car
AGITATE	Shake up
CANAPES	Hors d'oeuvres
EDGIEST	Most provocative
WEARS	Is tiresome
LIL	Wee wee?
LOTSOF	Many
EGAD	"Holy smokes!"
EMLY	Peggotty girl in "David Copperfield"
GODFEARING	Devout
GUILE	Cunning
ELSES	Someone ___ (not ours)
AKELA	Cub Scouts leader
SOL	Note
OUTTALK	Beat in a debate, say
ORAL	Something to explain your way through
TAI	"___-Pan" (1966 best seller)
OLDIRISH	Cousin of Erse
INS	Ties
SERAPE	Wrap
RIG	Semi
MAUNALOA	Site of the Mokuaweoweo crater
ELITES	Carriage trade groups
EYESLEFT	Marching order
SAGEST	Most judicious
