WEASELWORDS	Aids in artful deception
WRIT	Bailiff's concern
EINE	Strauss's "___ Nacht in Venedig"
AGCY	Part of 16-Across: Abbr.
SHO	"The Tudors" airer, briefly
ETHICAL	Like straight shooters
LSEVEN	Square, in 1950s slang, indicated visually by a two-hand gesture
WIRED	High on amphetamines
ODES	Dedicated compositions
REN	TV pooch
DUCKCALL	Decoy accompanier
SPELUNK	Cave
SCH	Knowledge base?: Abbr.
SCOTTIEDOG	Pet with short legs and a hard coat, informally
CIRCLELINE	Big Apple excursion operation
HASHESOVER	Reviews repeatedly
RIGHTSIDEUP	Correctly positioned
CIA	Org. in the 1982 film "Enigma"
INCOHERENCE	Babble
ORS	Where people wear gowns, for short
TEY	"The Daughter of Time" novelist
IVES	Big Daddy player on 1950s Broadway
KLATCH	Gabfest
ATT	Court figure: Abbr.
ICED	Hit
IMAY	Words after "if" or before "as well"
SCUTTLE	Sink
SHALE	Slate, originally
ASAMAN	How Viola is disguised in "Twelfth Night"
APGARSCORE	Measure of a newborn's health, named for its developer
SHORECOVER	Extension of the terms of a marine insurance policy
AIRCARRIER	American, for one
SHANTIES	Crude dwellings
SWEET	"Nice!"
PHIAL	___ of Galadriel (gift to Frodo Baggins)
AWALK	Go for ___
ACRID	Bitter
ELO	"Livin' Thing" group, in brief
GORY	Like some details
TCELL	Antigen attacker
TAXEXILE	Wealthy Cayman Islands resident, maybe
CDIV	Year of the last known Roman gladiator competition
CONE	Juniper product
ARC	Plot line
RAREE	Street show
REBEKAH	One of Judaism's four matriarchs
ROONE	2003 memoir of a TV executive
RIOTGUN	It can be a stunner
REAREXIT	Back out?
RIT	Slowing, in mus.
SINGER	One may be backed up
SHAYNE	Private detective Mike of Brett Halliday novels
SCRIBED	Wrote
SHOE	Something fit to be tied?
SEMIS	Round of four
CORTEX	Center of learning
BEAT	Switch
BSMT	Real-estate ad abbr.
PSS	Followers of closings: Abbr.
PICO	___ Rivera, Calif.
STAR	Lead
SSNS	Hyphenated IDs
OVI	Duct opening?
KISSMYGRITS	1970s-'80s sitcom put-down/catchphrase
SUA	___ sponte (of its own accord, at law)
RMS	Real-estate ad abbr.
REE	Loch ___, on the River Shannon
ALUMINUMCAN	Recyclable
ERR	Not be on target
HEATSENSORS	Components of some alarms
