STICKOUT	Project
SHE	Wolf or devil preceder
TESTATOR	Person with an estate
INTONATE	Speak with gravity
CHORALE	Bach piece
KONICA	Canon rival
OUI	Non alternative?
USA	TV's ___ Network
TEN	It's an honor
LOLITA	Noted novel in the guise of a posthumously published memoir
LITMUSTESTS	Important trials
ORIENTED	Fixed
LETTERS	Magazine feature
INLOVE	Dreamy-eyed
TEEPEE	Omaha home
ASSENT	Ratification
HENHOUSE	Sitting room?
IRENES	Old-time actress Rich and others
ESTONIAN	Finnic language
TITLES	Bibliographical listings
TORI	Rings
METOPE	Square space in a frieze
PANACEAS	They fix everything
PAVE	Surface
ENDORSEMENT	Star athlete's plum
ATONE	When some people go to bed
SANDDAB	Pacific Coast food fish
UNEVEN	Jagged
ATALANTA	Huntress who married Hippomenes
STREET	Mime's venue
VOTE	Declare up or down
DONATES	Supports a foundation
ALONE	Peerlessly
ERE	Prior to
FONDLED	Cuddled
FERGUSON	Scottie ___, James Stewart's role in "Vertigo"
SRO	Theater sign
SLOWLANE	Rightmost side
RIPOSTES	Zingers
OXEN	The yoke's on them
REREDOS	Screen behind a church altar
REDROSE	Symbol of love
FLIX	Movies, informally
FLOWNIN	Delivered by air
SAYERS	"Murder Must Advertise" writer
SPADER	Gardener, at times
ALLUDE	Refer
YEABIG	Size mentioned in a fish story
ANTELOPE	Western herd
ETOILE	Ballet company V.I.P.
PLEDGE	School recital
BESTOWON	Grant
ALARUM	Old-fashioned warning
OWLS	Two residents of the Old Man's beard, in a Lear verse
DUBOSE	"Porgy" author ___ Heyward
LAMINATE	Protect, in a way
LPS	Records that may be broken
ARE	Unit of land
MAR	Dirty
EST	Shakespearean suffix
EDISON	An inventor of the microphone
PRALINES	French confections
REGENT	Substitute scepter-wielder
SERENEST	Least ruffled
