FEDS	Gangbusters
FEM	Gender abbr.
EPA	Abbr. in many car ads
DISSIPATE	Go away
SCOTTS	Big name in lawn care
ALFAS	Some Spiders, informally
ANDYS	Some male dolls
LII	2018 Super Bowl number
FOX	Sexy babe
ABOARD	On
SEND	Thrill
JAMB	Part of a frame
JOB	Butcher, baker or candlestick maker
ABACK	One way to be taken
MOSHE	___ Arens, former Israeli defense minister
BEHAN	Irish writer Brendan
EPIC	Sweeping
NIOBE	Petrified weeper of myth
OBOE	Member of a pit crew?
MASONDIXON	Border names
NAE	Rob Roy's refusal
BASH	Big do
STAY	With 40-Across, coloring advice ... and literally so
ADO	Stink
OOLALA	"Color me impressed!"
CHA	Half a dance
WHITESTAR	Owner of the Titanic
WOMBS	Sonogram targets
HOTEL	Tourist locale
TENN	Clingmans Dome is its highest point: Abbr.
ANOTHER	Round request
OAKEN	Old ___ Bucket (Big Ten conference football prize)
ALTI	Prefix with meter
OOPS	Worrying comment from a surgeon
ENDALL	Ultimate goal
APEX	Zenith
MTA	1959 hit with the lyric "Did he ever return? No, he never returned"
DRNO	Fictional villain whose given name is Julius
DEVOTE	Commit
REED	Thatching material
PATINA	Antique asset, often
INTERDICT	Head off
NEATO	"Super-duper!"
ASKEW	Crooked
BETWEENTHELINES	See 20- and 58-Across
WELL	Wisher's spot
HERE	"___ goes!"
SLEEVE	It might be rolled up on a farm
HEXA	Prefix with meter
TAK	"And we'll ___ a cup o' kindness yet": Burns
LODGER	Paying guest
GFORCE	Pressing concern for an astronaut?
TETE	Head of Haiti
THATIS	Start of a clarification
DWELT	Live in the past?
DROVE	Was the designated one?
WOWED	Amazed
EZINE	Internet publication
FREETHROW	Unblockable shot
ERUPT	Hit the roof
TEC	Gumshoe
ROZ	The New Yorker cartoonist Chast
ESO	"___ Es el Amor" (classic Spanish-language hit)
SPAR	Box a bit
READ	With 40-Across, infer something ... and literally so
OWIE	Skinned knee, say, to a tot
EIN	A as in Austria
PRODUCTION	Factory output
OTS	Some game enders, for short
DUE	Directly
OEO	Antipoverty agcy.
NEW	Mint
VENI	Start of an old boast
ACTUP	Malfunction
ICEE	Frozen drink brand
EDEN	Elysium
RESET	Appliance button
STOW	Warehouse
