JESU	Proper name in Masses
JIMI	Guitarist Hendrix
EVEN	Flush (with)
SETA	Biological bristle
USER	Not a teetotaler
SAUL	David's biblical predecessor
SUMTER	South Carolina county or its seat
ALA	Menu phrase
UNI	Verse starter?
LADD	Actress Diane
CHOP	Tennis stroke
CLEANSER	Spot remover
HOLMS	Filmdom's Ian and Celeste
OWLS	They fly by night
PEA	Low-tech missile
ACME	Zenith
AROAR	Like Niagara Falls
CHOCK	Steadying wedge
MERLE	Singer Travis
EASED	Lightened
IVES	Big Daddy portrayer, in "Cat on a Hot Tin Roof"
ULNA	It's involved in arm-twisting
SLOWED	On delay
SCENES	They're made during tantrums
DROPPER	Baster, basically
RHEA	Mother of Hera
METERMAID	On the way to the bus stop to ___ ...
RULE	Decree
CELLARDOORS	... Mrs. Herr decided she'd ___ albums
DRAT	"Curses!"
INARUT	Going nowhere
DREAMS	Realm of Morpheus
RICA	Villa ___ (town near Atlanta)
ORACLE	Ancient medium
LEAP	Bound
APERS	Echopractic ones
PINNA	Feather, zoologically
INNS	New Hampshire is famous for them
SPARKED	Instigated
SAROYAN	"The Human Comedy" novelist
CENTERPIECES	At lunch with friends she ___ of meat back and ordered seafood
CISCO	Big tech stock
ELIAN	Young Gonzalez
NINES	Complements on diamonds
TESSA	"The Gondoliers" flower girl
ECOL	E.P.A. concern: Abbr.
RAPT	Enthralled
REZONE	Allow for business growth, say
ILIE	Rival of Bjorn
ENCASE	Sheathe
ERE	Afore
SHOO	Spot remover?
SLUE	Swing around
HART	He's a deer
OMAR	Bradley, the G.I.'s General
OSLO	Capital near Lilleström
SINS	Confessional list
DRNO	Bond classic
DREI	Vier preceder
RAZORCLAMS	Just as she started to ___ to her lips ...
ALEC	Actor McCowen
CAMEUP	Arose
CAESARSALAD	... the waitress tried to ___
ALLEGE	Claim
AGRI	Farming prefix
DALES	Valleys
LOY	Actress Myrna
AURAL	Ear-related
ONSALE	Marked down
GALENA	Ore of lead
LISP	Have trouble with assessors?
METRO	Newspaper department
LIQUORLICENSE	A drink was spilled all over her wallet and she had to ___ clean
QUOTEES	Those cited
UNSEWN	Apart at the seams
ODER	River of Frankfurt
SPRY	Still getting around
IMAGE	Effigy
IZOD	Shirt label
MEDE	Ancient Iranian
ALOE	Lotion ingredient
GIRD	Surround
UNDIES	Drawers
PUCCIS	Some Italian designs
CLIFF	Overlook
CALIF	Ariz. neighbor
INKLE	Linen tape for trimmings
STALE	Days-old
ZELIG	Woody Allen title role
OSE	Full of: Suffix
SPIDERPLANT	Next, she ___ in the car and wanted to get it home
INIT	Name part: Abbr.
DARES	Looks straight in the eye, say
EVERT	Flip
ODOREATERS	The waitress took forever with the checks and then ___ change
ANDREWS	Maryland Air Force base
SAMPLERS	Old home decorations
NAVY	Kind of bean
ILKA	Chase of old game shows
DEED	Feat
NEW	Unhandled
ASPIRE	Wish, with "to"
SITARS	Fretted instruments
PSST	Attention-getter
FILL	Occupy
ADEN	Yemeni port
AUER	Violinist Leopold
MISTERCOFFEE	When she came back to top off the drinks, the waitress ___ cup
COCCYX	Tailbone
OPIE	Mayberry minor
HONOURS	Order of the British Empire and others
HASPS	Padlocks lock them
OPERA	Theater offering
NOWIN	Kind of situation
OGEES	Sigmoid moldings
OPTS	Chooses
OAKEN	Sturdy, in a way
STOP	Knock off
APOGEE	Orbital far point
PALATE	Gourmet's sense
PROW	Stem
ESTA	This one, in Spain
CICADA	Cyclical thing
CRAG	Rocky projection
AMBI	Prefix with polar
DOLL	Gussy (up)
AMYL	Form of nitrite
SEWERWORKER	By then Mrs. Herr was ready to ___ for incompetence
OHO	"Well, lookee  here!"
SOCCERMOM	She wanted to ___ for suggesting the place!
OHM	Man with a law
CEE	Cold front?
PRIE	Prayed, in Paris
SHOERS	Smiths
THEY	He and she
ABLY	With competence
SANS	Without
OWNS	Has
AMEX	Trader's abbr.
GILL	Quarter-pint
