STOWE	Legree's creator
STAIR	It may lead to a landing
TACTIC	Ploy
OCEANO	El Atlántico, por ejemplo
WORLDRECORDTIME	What each of seven 36-Across events at the 2008 Olympics ended in
ESS	Tee preceder
SEAT	Pants part
SPEEDO	Brand name associated with 36-Across
EIGHTGOLDMEDALS	Singular achievement by 36-Across at the 2008 Olympics
ALEE	Protected from the wind
TERMS	Provisions
BINS	Grain containers
BUTTERFLYSTROKE	One technique used by 36-Across
INCHEDUP	Increased slowly
NIB	Pen point
STY	Pen
TACOS	They may crunch when you bite into them
PILE	Mound
UNIT	One
ACERS	Providers of excellent service?
EGER	Hungarian city known for its thermal baths
TCBY	Frozen dessert chain since 1981
ITAL	Printer's type: Abbr.
BEHEMOTH	Colossus
BEDLAM	Madhouse
OHO	Comment of surprise
RIND	Part that's cut off and thrown away
EDT	Conn. summer hours
SHEENA	Singer Easton
NESS	Tight end?
ARE	Go for, in price
CORNDOGS	Carnival food on sticks
NEH	O.T. book
SAP	Chump
ORDER	Law partner?
EEL	Coral reef dweller
OAT	___ flakes (cereal)
THEORY	Something to be tested
FUSE	It may be found in a box in the basement
MICHAELPHELPS	Subject of this puzzle
MENU	List of alternatives
IRONSOUT	Smooths over
EEE	Wide shoe spec
ELS	Chicago carriers
HERO	Subway fare?
HST	Pres. elected in '48
MED	Club ___
ELY	Cathedral city near Cambridge
SNORE	More men do this than women, studies show
ERA	Procter & Gamble detergent
EMBOSSES	Raises, as a surface design
BULLET	The Baltimore ___ (nickname of 36-Across)
ERODED	Like some banks
SOLOED	Performed without help
TUNDRA	Treeless area
ATEIN	Didn't do takeout
EUR	Part of E.U.: Abbr.
TROD	Walked
DEITY	Saturn or Venus
STATEDLY	As expressly said
ELSE	"Anything ___?"
ROLE	Macbeth or Lady Macbeth
ELOI	Beautiful race in an H. G. Wells novel
EBB	Decline
LAY	Set (down)
ELAL	Israeli flag carrier
SODOI	"Same here"
SST	Bygone aircraft, briefly
BAUM	Author L. Frank ___
ISLE	Jamaica or Barbados
SKEET	___ shooting
BYTE	Word often prefixed with kilo-
NEST	Snipers' place
TEDDY	Bit of sleepwear
