FSTOP	Shooting setting
FRIABLE	Crumbly
SINKSIN	Gets grasped
TAKEITORLEAVEIT	Stark alternative
ONEAT	It may precede a time
PERP	Busted party
SPUR	Prompt
SEMI	It may deliver the goods
PEACHESANDCREAM	Very pleasant
UNSEALS	Frees from constraint
RESOLVE	Clear up
ARIANES	Some satellite launchers
ALMAS	Actress Rubens and others
SSR	Est., once
KEENER	More anxious
KNTS	Some honored Brits: Abbr.
REFEED	Put more paper into
LINKERS	They make connections
ENMASSE	Not singly
ECTO	Prefix with parasite
MAKEAPRACTICEOF	Do regularly
ASTRODOME	Competition site beginning 1965
ABSIT	___ omen (God forbid)
STS	Block boundaries: Abbr.
HALE	Vigorous
SLIT	Kind of skirt
ISTO	Words of comparison
IRAS	Bank offerings
SUN	Source of global warming
DELVE	Look closely
DIV	Corporate sect.
ENO	"Another Green World" composer
RUR	Satirical play of 1921
HISSED	Displayed displeasure
HEMP	Natural narcotic
ROANOKEVA	Hollins University loc.
OLD	Follower or preceder of age
KIM	Former Canadian P.M. Campbell
SCULLS	Propels shells
SPADES	Trump, possibly
CITRATE	Sildenafil ___ (Viagra's active ingredient)
UPRISES	Rebels
DIM	Not brilliant
NEG	Kind of charge: Abbr.
EATINTO	Destroy gradually
GRANTER	Donor
PIPED	Uttered shrilly
COMP	Gratis
CONN	One of the 13: Abbr.
DARA	U.S. Olympic swimming gold medalist Torres
ASKED	Didn't command
ATRA	Razor brand
LOM	"Pink Panther" films actor
LOIS	Two-time Newbery winner Lowry
ACTAS	Represent
ADDER	One working on a column?
DRIVEONETODRINK	Make a person crazy
EDNA	Dame Everage
TAP	You may draw from it
OLLA	Guisado cooker
EASEDIN	Arrived effortlessly
ALDENTE	Somewhat hard
STEINS	Rathskeller stock
PLEATED	Like some fans
ESTA	Form of Spanish "to be"
ARMOR	Iron clothes?
