MISO	___ soup
MEGS	Drive units, briefly
IHOP	Chain with many links
SUGARCONE	Alternative to a cup
ODOREATER	Product associated with the annual Rotten Sneakers Contest
OCAT	One ___ (kid's game)
OZARKS	Range near Wal-Mart's headquarters
CENSOR	Pixelate, say
ABC	Epitome of simplicity
TRES	Cube root of veintisiete
YEAS	Floor support?
YAKOV	Comedian Smirnoff
EXILE	What some traitors end up in
ALTAR	Stopping point for a train?
SEERS	Ball-bearing types?
EHUD	Former Israeli P.M. Olmert
ZEBRA	Beast on Botswana's coat of arms
ARCHONS	Ancient Athenian magistrates
AXLE	Running gear component
GOGODANCER	One might perform behind bars
DEEMS	Thinks
KITE	The wind unwinds it
SPARERS	They let people off
SCHOLAR	Gentleman's partner?
HORN	Feature of Africa ... and some of its denizens
REEKOF	Really smell like
FAWCETT	Angel player of the 1970s
HOVERS	Hangs
OCCAMSRAZOR	Cutting edge of science?
OLGA	Bond girl Kurylenko
COOP	Shut (up)
ZAK	Drummer Starkey
LOOTS	Grabs and runs, say
WANNABET	Words before "You're on!"
ADVERTISE	Throw out pitches?
BASESIXTY	Number system used by the Babylonians
EDEN	An old couple fell in it
TATS	Some lasting art, in slang
GONE	Out of town
DUCKS	Avoids
DUMDUMS	Yo-yos
URI	It's between Bern and Graubünden
DADA	Style of Duchamp's "Fountain"
APERTURE	Light limiter
TSAR	Bolshevik foe
TVSET	It's often remotely controlled
TREED	Unable to escape, in a way
SMITHEREENS	Bits
HALOES	Features in many Fra Angelico paintings
EMENDS	Fixes
MRTOAD	Literary character who's "always good-tempered" and "not very clever"
MCJOB	Not the most stimulating work
RHINO	Record label named after an animal
TILTS	Has a list
ORTON	"The Ruffian on the Stair" playwright
TAMERS	They're good at breaking things
CHIRRUP	Twitter
PATS	Three-time grid champs of the 2000s
LEETIDE	Danger for small watercraft
DOLE	Relief
ENOS	1980 TV spinoff
JILT	Drop without warning
MASONDIXON	Kind of line symbolizing a cultural boundary
SEA	Source of rays
ONTO	Able to see through
STEED	Arab, maybe
STLO	Historic town on the Vire
BOSN	Rigging handler, briefly
SASS	Fresh lines?
EYES	They can be piercing
