MAPS	Atlas contents
MAGI	O. Henry's "The Gift of the ___"
AGED	Got gray
PUTATEASE	Helped to relax
SASHA	"Peter and the Wolf" bird
CHER	Sonny's partner, once
CLOSET	Skeleton's place?
HAM	Western omelet ingredient
ELF	North Pole toy maker
ROYAL	Palace dweller
BEBOP	Jazz style
BATMAN	Michael Keaton title role, 1989
EMO	Comic Philips
BONGO	Drum played with the hands
OUTOF	Words before sight and mind
PROOF	Conclusive evidence
AGUA	Spanish water
LALO	Composer Schifrin
AMOUR	French romance
GETSCOMFY	Snuggles in
COKES	Fountain orders
TONTO	Jay Silverheels role
IDAHOS	Some potatoes
ARM	Shirt part
ROOTS	Genealogy
GOO	Sticky stuff
TAKESALOADOFF	Flops down
SALEM	Oregon's capital
ALIBABA	Poor woodcutter of folklore
DEBRA	Actress Winger
SEE	Have a look
SHEA	Ballpark near Ashe Stadium
EELS	Snakelike fish
ETAL	And others: Abbr.
ONE	Start of long-distance dialing
HEAPS	Piles
PEARL	Oyster's prize
LIST	What Santa's making (and checking twice)
SUMAC	Shrub with red fruit
BLAH	Ho-hum
LATERISER	Early bird's opposite
ACID	___ reflux
HENS	Egg layers
ELSE	"If all ___ fails ..."
REBUS	Picture puzzle
RIPUP	Shred
RACE	5K, e.g.
ASEA	Way off shore
IMAM	Muslim holy man
SATIN	Deluxe sheet fabric
SHALL	"___ we dance?"
RAP	Hit, as the knuckles
ASSETS	Desirable qualities
BATH	Shower alternative
THETOY	Comic 1982 Richard Pryor film
EDS	Mag. staffers
PULLSUPACHAIR	Gets ready to sit
PINTS	Pub orders
USUAL	Typical
LORRE	"Casablanca" actor Peter
PASTE	Sticky stuff
INERT	Not moving
ISO	Prefix with metric
SPA	Health resort
ELNINO	Pacific weather phenomenon
NILE	World's longest river
ONYX	Cameo stone
NURSE	Surgeon's assistant
SOD	Outfield surface
SETTLESIN	Stays awhile
ERS	Hosp. areas
TIP	Start to fall
TAROT	Fortuneteller's aid
TRIO	Duet plus one
RELY	Count (on)
SLEDS	Snow sliders
ESPY	Catch sight of
TREX	"Jurassic Park" menace, briefly
