SLAM	Verbal assault
SCAN	Digitize, in a way
LIME	Lawn application
ATOP	Resting on
MESA	___ Verde National Park
AHEM	Verbal break-in
ADOPTS	Takes on
HAMLET	Dogpatch, for one
ETNA	Sicilian peak
MAIN	It may be bounding
METRO	Way around Paris
MOPPETS	Rug rats
ERRATA	Slips
TRON	Suffix in nuclear physics
RISE	Court order?
ONEL	Scott Turow's first book
CITE	Offer as proof
DATA	Stuff to be crunched
ORRIN	Hatch on the Hill
AMOS	Book after Joel
OMNI	Old Dodge
PROSE	Plain speaking
NEPALPLANEPANEL	Himalayan aviation board?
LATE	Eleventh-hour
EVERS	Middle of a noted Cubs trio
ATE	Filled the bill, perhaps
VET	November honoree
LEASTSTALETALES	Freshest stories?
LEGAL	Over 21, perhaps
ERICA	Writer Jong
ANGER	Reason for the silent treatment
SIS	Family girl
AMONG	In with
LAN	PC linkup
LLAMA	Andean wool source
EAGER	Hot to trot
SWEDE	Bjorn Borg, for one
ERNIE	Bert's buddy
MARS	Third-smallest of nine
LAW	Maker or breaker lead-in
GIGS	Tour dates
TOONS	Bugs Bunny and others
TORIC	Like inner tubes
OWE	Be in the red
MAGE	Merlin, e.g.
MIL	N.L. Central team, on scoreboards
ACE	Whiz
DOWN	On toast, at a diner
DEPRESS	Lower
AIMED	Readied the bow
AGER	Golden finish?
LARGEREGALGLARE	Closeup of royal displeasure?
GRETEL	Grimm heroine
AGENDA	Chairman's paper
LERNER	"My Fair Lady" lyricist
RPI	Sch. in Troy, N.Y.
GEE	"Is that so!"
PACERCAPERRECAP	Indiana team hijinks summary?
PING	Engine sound
ARIA	Part of a score, maybe
CALL	"Tails," e.g.
ABBA	"SOS" pop group
POOL	Summer hangout
ECHO	Sonar's principle
COOP	Group enterprise
ALOU	Baseball family name
PADS	Pew parts
IRATE	Storming
BONN	Beethoven's birthplace
COLA	RC, e.g.
NILES	Frasier's brother
BODE	Be an omen of
HOOD	Homeboy's place
GALLS	Exasperates
ALAR	Apple color enhancer
OPUS	Numbered work
