RED	Stop on it
RAMADAS	Beach shelters
EXOTICA	Strange things
DERIVED	Came (from)
CREMA	Caffè go-with
CHEESY	Rinky-dink
RIC	Singer Ocasek of the Cars
EMO	Rock genre
MODEL	Runway user
AMELIA	Joni Mitchell song with the lyric "She was swallowed by the sky"
ASIAN	Like some 21-Acrosses
ASAP	"On the double!"
SASHA	White House girl
INHALER	Asthmatic's need
ATONING	Yom Kippur activity
NATTILY	One way to dress
AXE	Headbanger's instrument
HIMOM	Stadium sign
SANTA	Traveler who carries his own bag
MORSECODE	See 38-Across
SMA	Scot's "wee"
ASHOT	"Give it ___"
ATIME	"___ to Kill" (Sandra Bullock movie)
ELEPHANT	Certain stampeder
EXPEDED	Rushed
DIVAS	Agents' handfuls
DLIX	Mid sixth-century year
DOOD	Part of the "De Camptown Races" refrain
ALII	Et ___
ACE	Starting pitcher
YAO	Ming of the N.B.A.
ADDIONS	New wings
APE	Common costume for a costume party
END	Terminate a relationship
ENL	Lab blowup: Abbr.
SADE	Top 10 singer born in Nigeria
EDS	Cuts and splices film, e.g.
DOI	Question before "And how!"
IDO	Snake's place
ENERGY	Life
EDH	Mrs. Woodrow Wilson
DDDDDDDDD	73-Across, in 17-Across
DKA	Longtime Chicago Bears coach
DLIA	Mexico's national flower
JETSKI	Vacation vehicle
JAZZAGE	"The Great Gatsby" setting
EYEEXAM	Prerequisite for many a prescription
TEAROSE	Flower named for its smell
OLE	___ Christiansen, founder of the Lego company
HAST	Verb with "thou"
ABASHES	Embarrasses
SAIDIDO	Married
THREATS	Ultimatums, say
AYE	Reply to Captain Kirk
AOL	Quantum Computer Services, today
LAICAL	Like some church matters
IDE	Chemical suffix
ESPANA	Neighbor of Francia
BAH	"Phooey!"
ZEAL	Fire
LONER	Typical Clint Eastwood role
NASA	Cong. established it in 1958
SNARE	Catch
STAIR	Well feature
TAT	Many a gang symbol, for short
ZEROESIN	Focuses (on)
ESSY	Swedish actress Persson
PASDE	___ deux
AXONS	Transmission conduits, of a sort
CARPATHIA	Responder to 38-Across on 4/15/1912
RYE	Catcher's place?
PAZ	Goal of las Naciones Unidas
GASES	Rightmost column in the periodic table
ARYAN	Indo-___
EDT	The Yankees play on it during the summer: Abbr.
EMERY	What might do a foul tip?
LEEZA	Talk show host Gibbons
SOS	See 38-Across
