BABYISH	Immature
BOOT	Part of firefighter attire
ARGO	Ship launched from Iolcus
BIAS	Favoritism
YELLSAT	Dresses down
INLAY	Tabletop decoration
STAYS	Good news for some prisoners
HALT	Parade-ground command
WANDA	"___ at Large," 2003 Fox sitcom
WAFERY	Thin and crisp
ALLAYS	Soothes
NOES	They're not positive
DUET	Performance that takes a second
ADS	Some web site banners
MISTI	El ___ (Peruvian volcano)
MITT	Paw
INTOW	Following behind
SEEPINGSLICKNESS	Oil spill?
TAR	Sealant
IRS	Schedule-keeping org.
ORIENTAL	Like Kashmir rugs
LAHTI	Christine of "Chicago Hope"
ALOUD	For all to hear
LINEAR	One-dimensional
LINEN	Eton collar material
OGALLALA	Nebraska town, named after an Indian tribe, featured in "Lonesome Dove"
FLEESPITTERS	Run away from chewing-tobacco users?
POLITICAL	"Man is by nature a ___ animal": Aristotle
TOSLAYTHEEAST	Alexander the Great's ambition?
EON	Long, long time
ONTOP	Leading the field
SYS	___ admin (computer techie, for short)
TORY	Revolution-era loyalist
ALE	Black and tan ingredient
ADO	Excitement
WITS	Mental acuity
TEETER	Show signs of falling
STRODE	Took a big step
MICA	Glinting flecks in granite
METAL	Bad stuff to microwave
IRENE	One of the Forsytes in "The Forsyte Saga"
COATOFMANLYCOORS	Macho beer-drinker's outerwear?
VINYSLIDING	Problem for a sweaty-handed Tarzan?
VAMP	Seductress
LAIR	Place to hole up
ILL	Not feeling 100 percent
GAPS	Breaks
NET	Trawler's trailer
EROTICA	Much of Anaïs Nin's work
INFER	Gather
COO	Sweet talk
ALOT	Quite often
ANGER	One of the five stages of grief
NATHAN	Lane on Broadway
TEA	Leaves in hot water
NOM	___ de guerre
MOBIL	Oil company in a 1999 merger
MOMUS	Greek god of ridicule
OVID	Contemporary of Virgil
BERLIOZ	See 94-Down
IMPASTO	Technique involving thickly applied paint
MAR	Do damage to
ANT	Crumb carrier
FOPLOVER	One who's crazy for a sharp-dressed man?
LETS	"___ Dance" (David Bowie album)
CASTLED	Moved two chessmen in one turn
LEONE	Early collaborator with Eastwood
NUANCE	Perceptive person's detection
EMIR	Islamic chieftain
CZAR	Drug ___
CHUCK	Throw out
ZASU	Pitts of silent film
HIRE	Bring on board
FUR	Stole, perhaps
STUDLYHAL	Shakespearean prince who's handsome and muscular?
SANDBLIND	Unable to see much
YODA	Little green man
SAC	Membranous structure
SASHA	Figure skater Cohen
PUMA	Sportswear brand
POKILY	At a slow pace
UNISOM	Popular sleep aid
MASS	Weekly service
MOI	"Excusez-___!"
IOUS	Creditor's collection
ANKHS	Some hieroglyphic characters
HIMOM	Words mouthed to a camera
STUNS	Leaves gasping
ONANDON	At great length
DASH	Telegraphy signal
CODCULTS	Fish-worshiping groups?
CURT	Short-spoken
LOLL	Take up the entire sofa
TOE	Nail holder
NIT	Insect egg
KINCAID	Novelist Jamaica ___
MUZAK	You might hear it going up and down
MAE	Ginnie ___
OOH	Backup singer's syllable
EMU	Tridactyl bird
ISLES	Scotland's Summer ___
BEAR	Market pessimist
EVE	Iconic Anne Baxter role
LEADSON	Beguiles
DINESIN	Gets one's food on a tray, say
LOY	Powell's "The Thin Man" co-star
HALVETHEGAL	What a magician might do with a big saw?
ALOES	Fleshy-leaved shrubs
HECTOR	With 52-Down, "Symphonie Fantastique" composer
EGESTS	Discharges
GAY	Party to many a civil union
ADOPT	Begin using
ISMS	Theories
YMCA	1978 disco hit
ARTIE	Bandleader Shaw
LIE	Say what isn't so
EGAD	"Good gracious!"
FIN	Bass part
FRERE	French business partner, maybe
IBSEN	"Peer Gynt" playwright
ORSON	Mr. Bean
STET	What a line of dots may signify
PACEYOURBELTS	How to avoid getting tipsy on hard liquor?
PARE	Peel
ANNE	Charles Lindbergh's wife
URIS	Author of "Trinity"
LURE	Draw in
TROT	Brisk step
SENT	Posted
PLOTTEDPANTS	Designed jeans?
PSI	ESP, remote viewing, and such
LEN	Hall-of-Famer Dawson
POP	Music genre
PRESSURE	Barograph reading
SERIES	DVD box set, possibly
ORNOT	"Ready ___ ..."
TIREIRON	Flat remover
INSET	Boxed-off map section
PEERS	Ladies and gentlemen of the jury
SENNETT	Producer of the Keystone Cops films
