COBRA	Enemy of a mongoose
CAPE	Corrida wear
OPAL	Good name for a gemologist?
BRIMS	Fezzes' lack
RID	Clear (of)
ALABAMA	Auburn's home
FOAM	Cushion material
FAINT	Plotz
ORS	They may be near I.C.U.'s
ALI	Thrilla in Manila participant
MOTIVATE	Light a fire under
TGIF	Happy hour shout
TALESE	"Honor Thy Father" author
GREATSEAL	Something the U.S. government keeps an eye on
ITAGO	"Give ___!" ("Try!")
FINER	More pure
APRIL	Patriots' Day time
ARLO	Janis's comics husband
ARTI	Intro studio class
PAIDAVISIT	Stopped by
VERY	VHF part
LEAN	Low in fat
ELM	Freddy Krueger's street
BEN	Federal Reserve chief Bernanke
ICEAGE	When mastodons disappeared
CESS	Lead-in to pipe or pit
SMARTINVESTOR	Market-savvy sort
MARY	Miraculous Medal figure
ITSABET	"You're on!"
NEARS	Zeroes in on
AMY	Grammy winner Winehouse
TEASES	Rides
MOIRA	Kelly of "One Tree Hill"
MAP	Tourist's aid
ORE	It may be picked
IMNOTHERE	Call to someone answering a phone, maybe
PSATS	Some H.S. exams
PLATA	Oro y ___ (motto of Montana)
EAR	Musical gift
AND	"Your point being ...?"
RYE	Deli option
ARMY	Mule team?
CLARE	Shannon Airport's county
CRANSTON	Lamont ___, a k a The Shadow
ZANY	Wild and crazy
ZINC	___ oxide (sunscreen compound)
PEN	Write
ARABS	Most Yemenis
ALID	"Put ___ on it!"
WILDE	Dorian Gray's creator
WINGTIP	Dressy shoe
OBLATE	Flattened at the poles
BSIDES	Backs of hit singles
CIN	The Bengals, on scoreboards
CANA	Biblical wedding site
PUTSINATRANCE	Hypnotizes
PATIO	Chaise spot
UPENN	An Ivy, briefly
RARIN	___ to go
EDAMS	Dutch treats
APHIDS	Snacks for ladybugs
ANG	Director Lee
DRS	"M*A*S*H" figs.
RCAS	Some HDTVs
SKYE	Hebrides isle
TEED	Sore, with "off"
THERATPACK	Group with members hidden in 17-, 24- and 46-Across
HMO	M.D. group
ENO	Brian of Roxy Music
PTA	Bake sale org.
INRE	Memo starter
OMNI	Bygone Dodge
ITMAY	"___ come to that"
ONES	Vending machine input
NOON	High time?
PASSE	So yesterday
