ENAMOR	Charm
EVADE	Try to lose
NASAL	Like some country sounds
ALIMB	Out on ___
MON	Oct. start of a new Supreme Court session
ORI	"... ___ will!"
RENEGED	Changed one's mind
VCRTAPE	Deck item
VILLAGES	Community center
CROESUS	Very rich man
ROSTEN	"O Kaplan! My Kaplan!" author
TNT	SHO alternative
AMOON	Start of an O'Neill title
PAULO	Sao ___
ENTER	Gain acceptance
VALOREM	Ad ___ tax
MEARA	"The Daytrippers" actress, 1996
IRONMAN	Marvel Comics superhero
ASININE	Laughable
LOSTOUT	Was unsuccessful
DAM	Fort Peck ___, in Montana
EAGLET	Baby on a cliff
GETSSWITH	Pays all that is owed
OLE	It may follow a charge
ELBOWGREASE	Hard work
OGLING	Eye movements?
WREN	House ___
NOR	Easter start?
GREATGUNS	Very fast and hard
SCANTY	Meager
FELLED	Cut
FAD	Temporary excitement
EGO	It might get in the way of an apology
LAW	Bar code?
SES	Parisian possessive
CRUX	Point
RUN	Exercise area for boxers
USE	Work
XER	Gen-___
AGAIN	Director's order
SSS	Nutritious breakfast, lunch and dinner, informally
SSHOOTER	Honest one
PAUSE	7-Across option
PARA	Brief researcher, briefly
DOWN	Dejected
SSW	General dir. of the Connecticut River between Vt. and N.H.
STOOLIE	One who sings
MANNER	Means
MASONIC	Like a certain order
GOTHICART	Development in the Middle Ages
OSBORN	Dramatist Paul who won a Tony for "Morning's at Seven"
CHOIR	Group of angels, maybe
ABA	Isaac Asimov's "Murder at the ___"
ALECS	"Smart" ones
BAYAT	Serenade, as the heavens
ADELE	Romance novelist Ashworth
SOOTHSAYERS	Roles in "Julius Caesar" and "Antony and Cleopatra"
ELOPE	Skip off
ROLEN	Scott ___, 1997 N.L. Rookie of the Year
SPENT	All in
LAD	"Sing me a song of a ___ that is gone": Stevenson
BOOHOO	Blubber
LOP	Slice
EYEBOLT	Fastener with a ring-shaped head
BOR	N.Y.C. division
INAHOLE	Stymied
APO	Part of an address on an overseas ltr.
HOG	Big motorcycle, slangily
CALORIE	Kind of counter
RIPOPEN	Quickly undo
STERNER	Less forgiving
COGENT	Telling
