GAPED	Stared stupidly
GAS	Burner fuel
ABE	Justice Fortas
PAL	Chum
ECLAIRS	Elongated pastries
DISNEY	Mickey Mouse operation?
WATTS	Light bulb units
WILE	Sly trick
ADDS	Tacks on
TAI	Mai ___
THEDA	Bara of old films
SORESPOT	Touchy subject
HON	Sweetums
HAVEHADDOCK	Dine on some fish?
OPENIT	Gift-giver's urging
NEXTTO	Abutting
ABACI	Simple counters
IDAHO	Potato growers' home
APE	Big galoot
SELLSOLDIER	Convince a G.I.?
ODD	Uneven?
VEX	Cause to fret
ANDES	Peruvian range
DECENT	Not naked
CELL	Unit in a terrorist organization
RELIED	Was dependent
RHEA	Perlman of "Cheers"
EARS	Corn units
LIGHTLITTER	Burn trash?
BASEHIT	Bunt result, maybe
BATHED	Washed
HAIRY	Like the Wolfman
BRA	It goes under a top
BOTHER	Irritate
ROSIN	Violinist's application
PLATO	"The Republic" philosopher
ERGS	Work units
FOOTHOLD	Secure position
FOG	London forecast
HOS	Sounds from Santa
ASH	Baseball bat wood
POTSHOT	Random attack
PUTTOSEA	Set sail
DNA	Evidence in a paternity suit
NUKE	Microwave, slangily
APOD	Like two peas in ___
TOUGHIES	No pieces of cake
OAST	Hops-drying oven
COUP	Masterstroke
CENTRAL	Like some air-conditioning
SPLAT	Water balloon sound
STRODE	Walked briskly
PREFER	Like better
END	Wind up or down
GECKO	Tropical lizard
GONUTS	Rant and rave
TRISTAR	"As Good As It Gets" film studio
ANIME	Japanese cartoon art
BONKED	Hit on the noggin
BET	Track action
RETTON	Gymnast Mary Lou
AGENT	Go-between
ASTO	Concerning
GASP	[You don't mean …!]
OFT	Frequently, in verse
SITSATURDAY	Refuse to work on the weekend?
TIS	Rejoinder to "'tain't!"
DUO	Dynamic ___
APT	Quick to learn
YES	Thumbs-up response
DEE	Actor Billy ___ Williams
EMITS	Gives off
TAUPE	Hosiery shade
ERR	Blunder
AESOP	"Belling the Cat" author
SLOTS	Casino array
