UMPS	Officials behind batters
USURPED	Seized, as the throne
MISERLY	Scroogelike
PREMISES	Debaters' basic assumptions
SEDAN	Many a family car
OHARA	Scarlett whose final film words are "I'll never be hungry again"
OAF	Clodhopper
HMO	Payer of some hosp. bills
ABS	"Washboard" muscles
RETELL	Give a new version of, as a story
AREA	Square footage
MYRA	Dame Hess at a piano
MPH	Dashboard abbr.
YEOMAN	Royal attendant in a Gilbert and Sullivan operetta
REMARK	Comment
APEXES	Uppermost points
SIRE	What to call a king
AMBER	Caution light's color
PEEP	Chick's chirp
USED	Preowned
FOSTERHOME	Where Jodie lives?
RUSSIA	Moscow's land
REMAP	Survey a second time
PCS	Dell or Toshiba products, for short
EAU	___ de cologne
MAX	To the ___ (fully)
PRINCIPAL	With 53-Across, where Victoria lives?
ITSME	"Who's there?" response
PINE	"Knotty" wood
ALLRISE	Cry from a bailiff when a judge walks in
SCARE	Say "Boo!" to, say
CIRCA	Around, in a date
ELS	Ernie on the links
STILL	Moonshine device
SINKS	Dirty dishes often collect in them
DYES	Hair colorers
SUPER	"Fantastic!"
SNL	Weekly TV show with guest hosts, for short
AIR	Broadcast
ALIBI	Cover story
SUMMERPLACE	Where Donna lives?
MISTED	Covered with a fine spray
PINS	Bowlers' targets
ELONGATE	Stretch
PIE	A clown might get it in the face
III	Jr.'s son
ALES	Heady brews
ENCARTA	Former Web reference from Microsoft
SEESOUT	Ushers to the exit
WIRES	Current conductors
WIIFIT	Nintendo product for the gym-averse, maybe
INSIDE	Not outdoors
REPELS	Disgusts
MSNBC	Rachel Maddow's network
MRTOAD	Wild-riding squire of "The Wind in the Willows"
CDS	Savings acct. alternatives
ONE	Singleton
INERT	Nonreactive, chemically
RESIDENCE	See 24-Across
EATEN	Consumed
ISP	Co. with a lot of connections?
EST	Inexact no.
SHOO	"Scram!"
SAGAS	Multigenerational stories
FIELDHOUSE	Where Sally lives?
LET	Permit
USO	Troops' support grp.
SIR	Walter Raleigh or Walter Scott
ESS	Twisty road curve
TARO	Starchy tropical root
IDLE	Not working
OASIS	Camel caravan's stop
ETTU	"You too?" à la Caesar
TEST	Trial run
ODORS	Scents
NEAT	Well-kept
