DISC	45, e.g.
DEF	"Fo' sho"
ILLS	Distresses
SLOWMOTION	What some plays are shown in
CAREEN	List quickly?
FLAVORFLAV	Founding member of Public Enemy known for wearing large clocks around his neck
FISTBUMP	Alternative to a shake
LAPDANCES	Bachelor party entertainment
AMIE	Date in France?
VACAS	Spanish cows
OMELET	Breakfast dish
REG	Pump abbr.
FRITTATA	9-Down variety
LIRA	Money in the banca, once
ACLU	Org. since 1920 with many staff lawyers
VAST	Sweeping
ELLA	"___ at Duke's Place" (1965 jazz album)
IAMAMERICA	2007 satirical best seller subtitled "And So Can You!"
FLOR	___ de Caña (Nicaraguan rum)
SPICEGIRLS	First British group since the Beatles to have two albums in the U.S. top 10 at the same time
SWEETDEAL	"That's a great price!"
ELLY	"For Better or for Worse" matriarch
TAUT	Strained
MELBA	___ sauce (sugary purée)
SEAT	Run for it
ARS	"___ sine scientia nihil est" (Latin motto)
IRONLUNG	Bygone medical ventilator
IPASS	"Not for me"
RASTA	Certain Afrocentrist
GALAS	Bashes
TRAMPS	Hikes
MRSPEACOCK	Board game grande dame
PUTTS	Attempts to sink
STOLA	Lady Liberty garb
PAT	Perfectly
YMCAS	Bldgs. with community courts
SENTIENCE	Topic in artificial intelligence
STRUT	Building support
ASIA	Area worth the most bonus troops in the game Risk
AUTOHARP	Variety of zither
PELEG	Literary captain who says "It's better to sail with a moody good captain than a laughing bad one"
GETOLDER	Age
ASTO	About
STOUT	Solid
TAP	Minor hit
SANER	More solid
RENU	Brand in contact lens care
PTL	Defunct ministry initials
SANTAS	Hatted bell ringers
SALAMI	Makings of a hero?
STTERESA	"Relaciones Espirituales" writer
RINSES	Some salon jobs
OPAH	Fish also called a Jerusalem haddock
HALAS	Papa Bear of Chicago football
IONIA	Site of a noted ancient league
NAOH	Caustic soda, symbolically
NIBS	Bills
ANAT	Gut course?: Abbr.
OLDE	Adjective for a coach house inn, maybe
LATELUNCH	One may cause your dinner to be spoiled
TANT	"___ pis!" ("Too bad!," in France)
HAHA	Nelson's catchphrase on "The Simpsons"
INLALALAND	Out of it
LOS	___ Banos, Calif.
SOAP	Wet bar, maybe
POT	Where the chips fall where they may?
BADROMANCE	2009 Lady Gaga hit
ECHO	Oread in love with her own voice
STEPSISTER	One of an evil fairy tale duo
SKAT	Three-player game
