LURKING	In the shadows, perhaps
LOESSER	"Baby, It's Cold Outside" songwriter
UPSTAGE	Draw attention away from
RETINAS	They contain cones
KNUCKLEDOWN	Get serious
ISAK	Author Dinesen
NEROS	___ Circus (old Vatican area)
GAYNOR	Brazzi's "South Pacific" co-star
INSECTS	Some buzzers
ITSSOYOU	Fitting room comment
NEWER	Later
SMEW	Eurasian diving duck
EPA	Trash trackers: Abbr.
CURTAIL	Dock
TRAMMEL	Catch in a net
SATISFY	Hit the spot
OPENSEA	It's beyond the three-mile limit
TEMPURA	Japanese dish
ESTUARY	Little sound
SWEARAT	Call names
STICKON	Affix
SEW	Buttonhole, in a way
TMI	1979 disaster area: Abbr.
SANK	Dipped
SOPOR	Rip Van Winkle's state
POPQUIZ	It's given without warning
SAMS	___ Club
SHENANIGANS	Monkey business
EGALE	Not différente
EARLS	Disraeli and others
ROY	Frontier justice Bean
CHIEF	Big wheel
CBERS	Some breakers
RESEAT	Move, as diners in a restaurant
TAU	Cross-shaped character
POTBELLY	Paunch
TED	"First Blood" director Kotcheff
DRAGQUEEN	Gender bender
GLADDENS	Opposite of depresses
HONOLULU	U.S.S. Arizona Memorial locale
HADROOM	Was able to fit something in
OVERPAY	Be due a refund, perhaps
NOOSERS	Some rodeo participants
DRAPER	Dry goods dealer, in Dover
PARAPET	Balcony barrier
EREMITE	St. Anthony, notably
RESENTS	Takes exception to
AVOWS	Asserts
AIL	Be laid up
LETSGO	"Get a move on!"
SNARE	Catcher
DEON	"The Cosby Show" actor Richmond
ADZES	Carpentry items
ASTER	Late bloomer
SITAR	It may be used to play a raga
IRES	Makes see red
RRS	They have strong ties: Abbr.
LSD	Source of some strange visions
LAMA	Tibetan for "superior one"
TIEGAME	Draw
ERNE	River to Donegal Bay
OPERATE	Work on an open-and-shut case?
RST	Letter run
STRAPIN	Secure
OARSMEN	Crew members
GANNETT	Wyoming's highest peak
MYSTARS	"Glory be!"
ORESTES	Clytemnestra's slayer
