MILER	Track specialist
MOO	Jane Smiley best seller
ILET	"Why should ___ you?"
LIDA	"___ Rose" (song from "The Music Man")
EVILS	They may be necessary
REPEL	Drive away
LBARS	Steel braces with right-angle bends
LASTYEAR	The recent past
BMX	Brand of racing bikes
AURA	A psychic may sense it
RCAS	Some TV's and VCR's
SKYHOOKS	Lifting devices hung from helicopters
INERT	Not reacting
ITERATE	Echo
NOCAL	Not putting on any weight
EMLY	"Little" girl in "David Copperfield"
REAP	Get as a result
TITICACA	World's highest large lake
JAW	Where a sock may go?
JOCKS	Athletic types
ABOUT	Not just up
WISPS	Slender traces
OLIVE	It may be pitted
AMUCK	One way to run
TOMEI	Marisa of "Slums of Beverly Hills"
OBI	Japanese band?
OEDIPUSXRAY	Inside look at a Theban king?
UNAS	Actress Merkel and others
ECLAT	Brilliance
COS	Secant's reciprocal: Abbr.
TALENT	What some scouts seek
ASHTRAYPICKUP	Busboy's job, sometimes?
TVA	Dam builders: Abbr.
CASH	Bills, e.g.
SLAYS	Wastes
SELF	Starter starter?
OVAL	Like some picture frames
CASTS	Flings
TUG	Tower in the water
TWOS	Rare bills
UHUH	"Nothin' doin' "
GOTO	Don't skip
SEEDCOAT	Kernel's cover
DOA	Like some trauma patients
COL	Marine off.
MBAS	Wharton offerings: Abbr.
MERIDEN	Connecticut city
BEIN	Hippie gathering of a sort
WHOOP	"Yippee!," e.g.
ORACLES	Future presenters, in the past
PETALS	Spots for bees
ALOOK	"Take ___ at this!"
EPEECHECK	Fencing match inspection?
PARADE	March event, in more ways than one
EBOLA	"The Hot Zone" topic
CARAY	Hall-of-Fame announcer Harry
KATY	Steely Dan's "___ Lied"
OUTREORFALSE	What a really outlandish claim may be?
OSSA	Peak in Greek myth
ETTU	Famous dying words
ARIA	Song of "Salome"
BAA	Kid's cry
SHOATS	Young hogs
TURIN	Palazzo Madama locale
URNS	Some burial vessels
SORT	Prepare to wash, perhaps
SPLASHY	Ostentatious
CASALS	Master of Bach suites
AGALLOP	Running full speed
LEBEAU	"Hogan's Heroes" corporal
SABE	"Quién ___?" ("Who knows?")
STRAD	Precious strings
SDS	Radical 1960's grp.
SPLAY	Spread
SPREES	Tears
PILLAGEANDUNDERPLAY	What a timid actor might do as a pirate?
PATTI	Singer LaBelle
INTER	Bury
NEMO	Ned Land's rescuer
ROBB	Pitcher ___ Nen
LANES	Some people weave on them
LARA	1814 Byron poem
ABBES	Secular clergy members
SENORA	Married Madrileña
ATTS	Bar figures: Abbr.
GLEEM	Aquafresh alternative
GOYA	"The Third of May" painter
BESTED	Beat
TORY	John Major, e.g.
ELIA	"Imperfect Sympathies" essayist
DDAY	Time to attack
RTE	A carrier has one: Abbr.
COLA	Cuba libre ingredient
CASEBOOK	It has precedents
OLEANDBEHOLD	Amazed exclamations from bullfight spectators?
LONGBOAT	Large-oared craft on a ship
ERG	.0000001 joule
AFS	Military branches: Abbr.
NEON	With 121-Across, they're bright on Broadway
DOUGHBOY	Often-poked pitchman
AIRWAYOUT	Ventilation duct?
WAGE	Carry on
THWARTS	Foils
ORFEO	Monteverdi title character
SYRIA	Where piasters are currency
ASAP	Promptness prompter
HANGSOUT	Loiters
AIT	River isle
TAUR	Bull: Prefix
YAY	"That's great news!"
ADAGE	Encapsulated observation
ABATE	Weaken
DANZA	"Who's the Boss?" co-star
ASNER	Former Screen Actors Guild president
SWIG	More than a nip
SLEET	February forecast, perhaps
NGAIO	Mystery writer Marsh
IRISH	The lucky ones?
OLDIE	Nostalgia stimulus
BASEBALLATBAY	Home games for the San Francisco Giants?
ASWE	"... mercy on such ___": Kipling
LILA	Reader's Digest co-founder Wallace
ABLE	Fit
YELL	Give a hoot
HURLED	Cast
EGGS	Food for snakes
DENS	Studies
ANN	Novelist Radcliffe
OSIER	Willow rod
OBEYBRIDGES	Take orders from Lloyd?
YSL	Fashion inits.
SSE	Course setting: Abbr.
TZE	Chinese philosopher Mo-___
OWLET	Baby hooter
ALLSO	"This is ___ new to me!"
SIGNS	See 86-Down
EAR	Canal site
KEATS	"Isabella" poet
TELLY	Where to see an advert
HESSE	"Steppenwolf" author
