OHGOD	"This can't be happening!"
OPTED	Went (for)
HORNY	___ toad
GLARE	Cold look
OLIO	Grab bag
DOLLIED	Moved on wheels, as a movie camera
ICHAT	Apple's instant-messaging program
INFEAR	Afraid
CETERA	Et ___
HRH	Regal letters
AVEC	Opposite of sans
TECH	Practical school, for short
BASED	Headquartered
BENS	Uncle ___
ANTES	Pennies are small ones
STUNTS	Staples of action scenes
EER	Poetic contraction
DRY	Humorless
SAC	Anatomical pouch
SPIRALSITARCASE	Decorative piece of George Harrison tour equipment?
ARNAZ	Ball's partner
CYCLE	Spring, summer, fall and winter, e.g.
POLLO	Spanish fowl
NERVECENTER	Headquarters
CEO	Big suit
PRY	Inquire about private matters
TRAILOFTHECENTURY	Lewis and Clark expedition, for the 1800s?
OLDHAT	Stale
INC	"Monsters, ___"
ENROLLEE	Student
CHOSEN	Elite group, with "the"
ORAL	Like some exams
OGLES	Eyes
DYE	Turn red, say
IDARE	"___ you!" ("Just try it!")
ENG	Grade school subj.
STARGAZE	Search the heavens
ACTONE	Play opener
RUING	Wishing undone
TEHRANRAIN	Spoiler of a parade for Ahmadinejad?
TETHERS	Restrains
RADLEY	Boo ___, recluse in "To Kill a Mockingbird"
AROOM	Forster's "___ With a View"
INRI	Crucifix letters
NEIN	Unlikely response to "Sprechen Sie Deutsch?"
SCULL	Racing boat
FRIEDA	Charlie Brown's curly-haired pal
FRAN	Actress Drescher
RELIEFMAP	Chart showing highs and lows
ICONCOLLECTIONS	Paintings of Marilyn Monroe, Che Guevara and the like?
GARNET	January birthstone
TAKESTEN	Rests
TIESON	Attaches with string
ODOREATER	Shoe insert
NEWT	Grown-up eft
RECT	Like most city blocks: Abbr.
TES	Parisian possessive
ETHENE	Anesthetic gas
SHAVINGS	Sharpener residue
DORIA	Andrea ___ (lost ship)
ONSIDE	Like some kicks
ALOHA	"___ From Hawaii," 1973 Elvis album
ASU	Sun Devils' sch.
THELOINKING	Top butcher's title?
ERR	Screw up
INESSE	Actually
TOW	Pull
NINES	WXY buttons
HAREM	Sultan's group
ENE	Santa Barbara-to-Las Vegas dir.
WART	Blemish
WHOKNEW	Words said with a shrug
ECRU	Hosiery shade
EVRY	"Climb ___ Mountain"
MISE	___ en scène (stage setting)
MAITAI	Tiki bar order
ISR	Medit. state
IHRE	Her: Ger.
ICS	Suffix with robot
UFOS	"Independence Day" fleet
USGA	Grp. concerned with courses
ANI	Singer DiFranco
ARENOT	Playground retort
OASTS	Brewery sights
OFFER	Volunteer
COCAS	South American shrubs with potent leaves
SECY	Cabinet member: Abbr.
SML	T-shirt sizes, in short
FRENCHFIRES	Destroyers of les forêts?
FRERE	Parisian business partner, maybe
CRAM	Squeeze (in)
HAVA	"___ Nagila" (Hebrew folk song)
SKATE	Glide
GALORE	Aplenty
OMAHA	Site of the College World Series
GRAFT	Surgeon's procedure
NES	Super ___ (game console)
SCLERA	Cornea neighbor
NSEC	Minute fraction of a min.
APEMEN	Cave dwellers
SAVEAS	Menu option
STA	RR stop
CHEERY	Upbeat
HADATIT	Didn't shrink from the challenge
CAROB	Chocolate substitute
BOSNIA	1990s war site
MARITALLAW	What a family court judge enforces?
ASSTDA	Member of the prosecutor's office: Abbr.
LECHER	Fyodor Karamazov, for one
ATTHETOP	Where sharks are in their food chain
ALEVE	Advil rival
TEXAS	U.S.S. ___, first battleship to become a state shrine
PITTS	ZaSu of film
ASEED	Plant ___ of doubt
TAW	Glimpsed à la Tweety Bird
TBALL	Peewee slugger's sport
ALLEE	Tree-lined walk
WEIRD	Kooky
LEIA	Luke's princess sister
SIENNA	Yellowish-brown
ETCH	Permanently mark
NOH	Japanese drama
NUBS	Gists
ACLU	Rights org.
SCRAMBLE	Convert, as metal into a melt?
MDLI	Year Boris Godunov was born
EXO	Prefix with skeleton
DONTTOUCHTHATDALI	Admonishment at a Surrealist museum?
DSL	Broadband letters
OWE	Be behind
HAG	Witch
VAN	Delivery means
SWITCHBLADE	"West Side Story" fight scene prop
ILLER	More awesome, to a rapper
ESS	Slalom figure
LEASH	Lab holder?
SUGAR	Darling
TILED	Like many mosaics
