ASTA	"The Thin Man" pooch
ALBUM	Photo collection holder
SAYSO	Approval
TOTEN	Count from one ___
ASH	Volcanic spew
RECAP	Anchor's job at the end of the news
RETIRE	Go to bed
EPILOG	Literary coda
COMA	What a conk on the head may produce
ACES	Assets in poker
PHI	Letter after upsilon
AWOL	How a soldier may go
AGENDA	Meeting list
WATT	Light bulb unit
OTTO	"Beetle Bailey" pooch
LEON	Trotsky or Spinks
LAOS	Vientiane's locale
EPOCH	Long, long time
GATE	Fancy entrance feature
BYTHETIMEIGETTO	"… Phoenix"
ELEV	Architect's abbr.
GANGES	River to the Bay of Bengal
USE	Employ
LILAS	Actress Kedrova and others
ANTON	Writer Chekhov
MONTERO	Popular Mitsubishi S.U.V.
TILE	Mah-jongg piece
END	Terminal
EAR	Big feature of an elephant
IVEGOTAGALIN	"… Kalamazoo"
ORFEO	Title character in a Gluck opera
TAO	Confucian way
LONI	Anderson of "WKRP in Cincinnati"
INTO	Really liking, informally
NOON	Midday
ABEL	Genesis boy
ABES	Lincoln and others
BATH	Wash-up
ESAU	Old Testament twin
RARE	Opposite of well done
ONO	Lennon's Yoko
BASEL	Swiss city on the Rhine
LEFTTO	Reserved for
UFO	Flying saucer
UNE	French article
SANTO	___ Domingo
ALOT	Tremendously
ETA	Terminal info: Abbr.
EINE	German article
ILE	Speck in la mer
LION	Animal with a mane
SHUFFLEOFFTO	"… Buffalo"
FINDER	Locator
FAROUK	1930's-50's Egyptian king
FRONTS	Leads, as a band
TEND	Minister (to)
ITE	Suffix with meteor
ARETHAS	1971 R&B collection "___ Greatest Hits"
HEROD	King in "The Passion of the Christ"
ARISE	Come up
SENSE	Perspicacity
SPENT	Pooped
SWAB	What tars do to decks
PACE	The "P" in a Latin R.I.P.
EYRE	Jane of a Brontë novel
APRON	Carpenter's nail holder
ANTE	Kick into the pot
PYRE	Combustible heap
ERE	Before, to poets
WAYDOWNYONDERIN	"… New Orleans"
WSW	ENE's opposite
ELI	Wallach or Whitney
ACRE	Small field
STRUT	Swagger
LOSS	Red ink amount
BEER	Keg contents
WEEKS	Vacation segments
IDEE	___ fixe
