MAP	"You are here" posting
MOM	Tattoo word, often
APE	King Kong
PETRIDISH	Culture container
ALDA	Hawkeye Pierce portrayer
ADOBE	Desert clay
LORI	Actress Singer of "Footloose"
DOIN	"___ What Comes Natur'lly" (Irving Berlin song)
ARCH	Flatfoot's lack
UPSHOT	Result
USSOLDIERS	Fighters in green
PLEDGES	Sorority candidates
SUES	Takes to court
HITME	Words to a blackjack dealer
OCHER	Yellow pigment
TEENS	Many MTV watchers
OPENDOOR	Sign that all are welcome
NEON	It's a gas
SLUICE	Floodgate
METEORIC	Like a swift and spectacular success
SEETHE	Do a slow burn
ROBINHOODSMEN	Fabled thieves in green
OAR	Row your boat
CAINE	"The ___ Mutiny"
COBRA	Charmer's snake
ARROW	Cupid's dart
ALG	H.S. math
ERS	Sounds of hesitation
ORD	California fort named for a Union general
GUARDED	Circumspect
GIRLSCOUTS	Cookie sellers in green
UNO	Popular card game
ACUTE	Sharp as a tack
DAIS	Speaker's spot
BRIM	Fill to the ___
MAIM	Hurt badly
INC	Small-business magazine
ISAACS	Asimov and Newton
ASPERSION	Slanderous insinuation
CLIME	General weather conditions
SANTA	Holiday visitor
ROSA	Civil rights activist Parks
ROUGE	It'll make you red in the face
GAR	Civil War grp.
ISLA	Mallorca, e.g.
AWHIRL	Spinning
RAIMENT	Clothing
TAR	Black gunk
SPIN	Wash cycle
MASTERS	Augusta golf tourney
THU	Turkey day: Abbr.
EMT	CPR expert
EPA	Ecol. watchdog
EDINA	Patsy's pal on "Absolutely Fabulous"
PANES	Window pieces
ARLES	Site in a Bizet suite
ICH	First person in Berlin
KOREA	Where to get Seoul food
KAPOW	Sound of a punch
ONAN	"Chestnuts roasting ___ open fire"
DARTMOUTHFANS	Ivy League rooters in green
TIDE	Ocean motion
TWOS	Ark groupings
HANK	Bit of hair
FREE	At no cost
INLIEU	Taking the place (of)
WARPAINT	Face decoration for a brave
NNE	Opposite SSW
TED	Cable kingpin Turner
NEEDNT	"You ___ bother!"
ONEONONE	Person-to-person
ASSETS	They can be liquid or frozen
SKEW	Distort
NED	Actor Beatty
