ATEAM	Crack squad
ALFA	Starting code word
TORS	Places for some aeries
ERAS	Succession of history
ANNABEL	Title girl of a 1906 L. Frank Baum novel
MAZURKA	One of 58 Chopin compositions
SAMS	Club for bulking up?
SLATTED	Like fruit crates
AEF	W.W. I military grp.
MAKEUPS	Second chances for students
SHALLOT	Its bulbs are milder than garlic
FRAG	Wound, in a way, as a fellow G.I.
FLOUNCE	Move in an attention-getting way
RAJQUARTET	"The Jewel in the Crown" begins it, with "The"
ALOUD	One way to think
GOSEE	"Check it out for yourself"
LORNA	Patterson who played the title role on TV's "Private Benjamin"
LEAH	One of Laban's daughters
LALO	Four-time Grammy winner Schifrin
FRANZKAFKA	He said "You are free and that is why you are lost"
KLEIN	German mathematician who lent his name to a "bottle"
OJOS	Spanish seers?
ASSAULT	Offensive action
ELDUQUE	Pitcher Orlando Hernández's nickname
DANE	Zealand resident
BRET	Author ___ Easton Ellis
ULANUDE	Capital of the Buryat Republic
DOVEKIE	Little auk
DISC	Drum alternative, vehicularly
OREO	Kind of mud pie
VERRAZZANO	Explorer of North America's eastern coast in 1524
PONCA	Cousin of an Omaha
IRELAND	Home of the Knockmealdown Mountains
STEERED	Did course work?
ERBE	Player of Det. Eames on "Law & Order: Criminal Intent"
DUOS	Some acts
SER	Inspirational delivery: Abbr.
TRU	1989 Broadway monodrama
CORNEAL	Like some eye surgery
NUZZLES	Is an affectionate pooch
ETAL	Indication that there's more: Abbr.
ARGENTO	Silver: Prefix
LYESOAP	Some old-fashioned bars
PLACEBO	Test control
PREJEAN	Real-life death penalty opponent played by Sarandon in "Dead Man Walking"
LOMAX	Folklorist/musicologist Alan
ATTRACT	Draw
CASHCOW	Good profit source
AUTRY	See 57-Across
ROTATES	Moves in a tired way?
JAZZAGE	"The Great Gatsby" setting
JPEGS	Some high-tech images
AUGER	A boring person might have one
EMTS	Figures at a pileup
PUZZLES	Stumps
JARHEAD	2003 Anthony Swofford Gulf war memoir made into a 2005 film
ETRE	Being abroad
ALEE	Way to turn a ship
DYAN	Cannon shot on a set?
EGAL	Even around the Seine?
NOTEXACTLY	"Close ..."
TRE	___ corde (music direction)
GENE	With 44-Across, Champion rider
TARA	Old royal residence in 29-Across
COREA	Pianist with 15 Grammys
SROS	Cramped urban dwellings, briefly
OPEN	Easy to get into
TWEEN	One who was recently a child
