ABODE	Home
ADOS	Foofaraws
BELT	Alternative to suspenders
OBIT	News item listing surviving kin
DIVERGES	Branches off
ETERNAL	Everlasting
LOGIC	If A > B and B > C, then A > C, e.g.
LASS	Lad's mate
OCTA	Eight: Prefix
GTO	Classic muscle car
ION	Charged particle
CREMONA	Onetime center of Italian violin manufacture
LSD	'60s hallucinogen
LEAR	Edward who wrote humorous verse
SYNC	Working well together, after "in"
DENY	Say no to
DEBIT	Subtraction from a bank account
ACTOR	Cage or Penn
EYE	Teardrop's starting point
OLIVERSTONE	Film director's sound?
REAR	Derrière
ANN	Massachusetts' Cape ___
STTERESA	Nun from Ávila
MERCY	"Goodness gracious!"
ENG	Where London is: Abbr.
RNA	Genetic letters
AVON	Bard of ___
ASPISH	Venomous, as a snake
VAIN	Conceited
MARGARETSANGER	Birth control advocate's fury?
MEDE	Ancient Persian
ALONG	"Get ___ Little Dogies"
RINSE	Get the soap out
ESPIED	Caught sight of
TEALS	Dabbling ducks
ECOLI	Bacteria in a breakout
ROMAN	Not italic
ELIEL	Architect Saarinen
SEPIA	Old photo tint
COD	How some mail-order packages arrive, for short
DENG	China's ___ Xiaoping
DONS	Puts on
SPAIN	Barcelona's home
SAGA	Chronicle
SOME	Amount between all and none
SURESHOT	It's guaranteed to hit the mark
ENS	U.S.N. officer
TAILS	Coin toss call
TREATED	Dealt with, as an injury
MULAN	1998 Disney film set in China
MAESTRO	Eminent conductor
GEORGESHEARING	Jazz pianist's court appearance?
OLD	Antiquated
EZIO	Basso Pinza
LEAD	X-ray vision blocker
ZEE	Letter after wye
PANDA	Bamboo-eating animal
PULP	Solid parts of orange juice
ASIA	It's east of Europe
NAVY	Armada
IMISSYOU	Words of longing
ISLE	Capri, for one
MMES	Sras. : Mexico :: ___ : France
YEAH	Opposite of nah
ORNE	French department
USSR	56-Across's cold war foe
USA	55-Down's cold war foe
TOMSMOTHERS	Comedian's parents?
OFA	Three ___ kind
MIT	Sch. near Harvard
LIV	Ullmann from Norway
EFILE	Submit one's tax return via computer
ROANS	Horses with speckled coats
PAY	Wages
DATES	7/4/1776 and 12/7/1941, e.g.
OTHER	This, that and the ___
