TOSS	Deep-six
TSAR	Peter the Great, e.g.
OHIO	Kent State locale
SORT	Do a laundry chore
SOYA	___ beans (miso ingredients)
ABEAM	Crosswise, on deck
ARGYLE	Pattern named for a Scottish county
BONDS	Wall Street buys
ESAI	Morales of "La Bamba"
ASTA	Terrier in whodunits
MISLEADS	Isn't completely honest with
SETS	Movie lot sights
SATYR	Lecherous figure of Greek myth
EGRET	Everglades wader
THIGH	Chicken piece
SAGGY	Drooping
SHOO	"Beat it!"
ROSSI	Martini's partner in wine
AGHA	Turkish title of old
AIRY	Not stuffy
GNATS	Pesky swarm
TRIG	H.S. math class
ROTARYDIAL	Keypad forerunner
RITA	Meter maid of song
YEGG	Safecracker
ILS	They, in Thiers
EARTHY	Coarse, as humor
AMC	Onetime Jeep mfr.
DEMOTE	Knock down in rank
DOFF	Tip, as a hat
ECOL	Earth Day subj.
MARE	Foal's mother
OLDS	Cutlass or 88
MAAM	Term of address from a hat-tipper
MOANS	Haunted house sounds
ALPE	Mont Blanc, par exemple
OCALA	Seat of Marion County, Fla.
GOLDCOAST	Ghana, once
GOOD	Well-behaved
OBIT	Article that may list survivors, in brief
ALOE	Burn soother
SAME	Common bar order, with "the"
THEN	"That was ___ ..."
FORD	Company that makes Lincoln and Mercury
SOAPS	Afternoon fare ... or a hint to the ends of 20-, 33-, 41- and 52-Across
STUNTMAN	Movie double, often
BLAH	Eliciting a "So what?"
FLESHTONE	Body suit shade, perhaps
HBO	"Def Comedy Jam" channel
BIOME	Community of plant and animal life
BALE	Seat at a barn dance
BUDS	Blossoms-to-be
SATEEN	Glossy fabric
SALARY	Job interview topic
SPOTON	Absolutely perfect
SNIPE	Take potshots (at)
PURIM	Jewish holiday when the book of Esther is read
OKAPI	Cousin of a giraffe
TENET	Basic belief
SAL	Mineo of "Exodus"
STRAD	Fine fiddle, for short
NUKE	Zap in the microwave
TURTLEDOVE	One of two in a Christmas song
UELE	River to the Ubangi
RATE	Credit card statement figure
DUST	Do some housecleaning
OSLO	Capital on a fjord
VEIN	Way to a man's heart?
EDDY	Whirling water
IRAN	"Axis of evil" land
MEARA	Stiller's partner in comedy
USED	Like thrift shop wares
PIPE	Snowman's prop
ALTAR	Vows locale
SLID	Came into a base horizontally
EMIT	Give off
NEEDY	Down and out
TONY	Broadway honor
