AMP	Rock blaster
ALUMS	Fraternity benefactors, for short
METAL	Rock music genre
PIANOHINGE	Cabinetmaker's hardware
SLAWS	Shredded sides
SLOB	Neatnik's opposite
LAPOF	In the ___ the gods (left to fate)
AUCTION	What a hammer may hit
WRITERS	Author's bane
SATORI	Zen enlightenment
SHUNS	Blackballs
SCARE	Close call
HONOR	Pay tribute to
URDU	Language of Islamabad
NEON	Old Dodge
SARD	Reddish-brown gem
LEI	"Fantasy Island" prop
LAURA	1944 murder mystery directed by Otto Preminger
COREA	Jazz pianist with 16 Grammys
UTA	Hagen of Broadway
OPCIT	Footnote abbr.
ANDOR	Flexible conjunction
MAN	"Wow!"
BOTTOMROUND	Butcher's roast cut
MIGRAINE	What screaming may exacerbate
SLOP	Spill
PECTIN	Jelly thickener
FIERIER	More fervent
HEM	Border line?
MRANDMRS	Start of some addresses
ORIG	Not a copy: Abbr.
HOT	Trendy
HAIR	It'll grow on you
ONEA	Fit for duty
TASM	Land under Down Under: Abbr.
OMICRONS	O's overseas
OMEN	Harbinger
MENO	___ mosso (less rapid, in music)
OLE	Hoagy Carmichael's "___ Buttermilk Sky"
ROMANA	Pax ___ (uneasy peace)
ORACLE	Soothsayer
MTG	Subj. of a 39-Down reminder
MENTAL	Temporary lapse of memory
PARTIES	Neighborhood get-togethers
PDA	See 37-Down
ENGINE	Metal casting housing automotive cylinders
DIAGRAM	It displays the connections between system components
NOEND	Incessantly
BLANC	Like many squares in a French crossword
BUSTER	Smash hit
LETTER	Bit of comic strip text
MOUE	Pout
OUIJA	Kind of board
ELBOWS	Newbie rollerblader's sore spots
BLOCK	The 2x2 black square near the middle of this puzzle's grid, e.g., which is part of eight answers
OVULE	Fertilized item
WIZEN	Shrivel from age
SNOOT	Condescending one
PIECRUSTS	Filling holders
PPPS	Third afterthought in a missive: Abbr.
IOLE	Princess loved by Hercules
ELAN	Dash
CENT	Small price to pay
SERE	Bone-dry
ELVIN	N.B.A. Hall-of-Famer Hayes
POLESITTER	Certain 1920s faddist
RST	Queue after Q
OUZO	Anise-flavored liqueur
PLAN	Scheme
JEERS	Bronx cheers
CLEO	1963 role for Liz
SENT	E-mail folder
ARRET	Stop on the Métro?
KENT	Cigarette that once advertised the "health benefits" of its Micronite filter
