STIR	Flap
SIGHT	Pupils take part in it
TORAH	Numbers holder?
INANE	Ludicrous
RANDS	Shoemakers' leather strips
MASSE	Billiard shot
MASC	Like some names: Abbr.
ALPACA	Silky-fleeced animal
SCAPA	___ Flow (British naval base site)
SAS	Intl. carrier
ENS	Starfleet Academy grad.
BERGS	Shipping worries
BERTIE	Irish Prime Minister Ahern
EWELL	"The Seven Year Itch" co-star Tom
REGAL	Far from base
GROWN	Unlike a child
SSN	W-2 info
PECS	Push-ups strengthen them
PAPAYAS	Thick-rinded fruits
EDISON	Prolific patentee
CITERS	Some ticket writers
SNARK	Carroll quarry
IONA	New Rochelle college
ALCAN	Old road to Fairbanks
EWERS	Fancy pourers
ADIN	Server's edge, on the court
GRANTSPASSOREGON	STATE FAILS BID FOR FEDERAL FUNDING
TIEPIN	Dresser-top item
OAKS	Dumbarton ___ (D.C. estate)
PITA	Falafel holder
HANDICAP	Assign odds for
ATLAW	Attorney follower
TASER	Shocker stick?
TWYLA	Choreographer Tharp
THESE	Stevie Wonder's "___ Three Words"
CATSKILLNEWYORK	STATE DESTROYED BY MOUNTAIN LIONS
TRAWL	Dragnet
SOWN	In the ground, in a way
ERIK	Quarterback Kramer
PGA	Grp. concerned with clubs
GOVERNS	Wields a scepter
ROSE	Pink
RYANS	"Von ___ Express" (1965 film)
SERGIO	Bossa nova's Mendes
SPAT	Have words, so to speak
ELKO	City on the Humboldt
RAINFALL	Drops from above
GIN	Become empty-handed?
HAW	It's left to an ox
HEATH	Blueberry's family
TRAILS	Is behind
TRINI	Lopez of pop
RAM	Butter
ASP	Slithering striker
PLAINVIEWNEBRASKA	STATE TOURISM INCREASES AMONG ORDINARY FOLK
ITIC	Suffix with arthr-
EPOCHAL	Momentous
BROKE	Strapped
MBA	Wall Streeter's deg.
METAPHOR	"A mighty fortress is our God," e.g.
BIZ	Show ___
ANY	At-cost connection
AKIN	Of the same sort
ETAL	Plus more: Abbr.
PRIMP	Pretty up
MEIN	"___ Herr" ("Cabaret" tune)
MIN	Like some mus. keys
TON	Heap
BRIT	One wearing pyjamas?
BEN	Poor Richard, really
NOON	When all hands meet
NISEI	Japanese-American
GLITZY	Ostentatious
GIRAFFE	One with a great view of a zoo?
LAO	Thai tongue
FRENCHLICKINDIANA	PARISIAN TEAM HANDILY DEFEATS ALL-STATE SQUAD
RIO	Océano feeder
LARCH	Tough, durable wood
NEGUS	Warm, sweetened wine drink
DUFF	Heinie
CHAINS	Wal-Mart and Walgreens
CHI	Bears' home, briefly
HAL	Prince of the theater
ASHE	Connors contemporary
EURO	New coin
PHD	University offering
HOWE	Victor at Brandywine
DRAT	"Phooey!"
HALO	Symbol of goodness
COREA	Jazz pianist with eight Grammys
CUE	Prompt
ONT	Mich. neighbor
AGFA	Alternative to Kodak or Fuji
ALTOS	A chorus line?
SHOR	Longtime Big Apple restaurateur
SIR	Round Table address
ILL	Poorly
COUNCILBLUFFSIOWA	CITY AGENCY DECEIVES STATE LEGISLATURE
CIRCE	Irresistibly fascinating woman
OVER	In preference to
BETA	Kind of test
SENTRA	Nissan offering
GIVETH	Bestows, biblically
GEYSERS	Wonders of nature
ETS	"The X-Files" extras, briefly
FERRET	Search (out)
DEERE	Toro competitor
DORADO	El ___
ELITES	Power groups
VETO	Emphatic no
VALETS	Parking meeters?
ELSE	If not
TEN	Routine perfection?
TACKLE	Take on
HOLYCROSSALASKA	RELIGIOUS PILGRIMAGE UNDER WAY THROUGHOUT STATE
HAREM	Part of a Mideast palace
OHARA	"Ten North Frederick" writer
SEWER	Ratty place
SANTA	Sack toter
KICKS	Thrills
THOSE	"___ Calloways" (Disney film)
HINTS	Some people can't take them
ONSET	Inception
SKATE	Play in the N.H.L.
ESSEN	Bad ___ (Lower Saxony city)
ARISE	Begin a revolt
HEALS	Closes up, perhaps
ICERINKS	Places for some pairs
EKED	Scratched (out)
RATE	A dime a dozen, e.g.
PAWNEEROCKKANSAS	TRIBE MEMBERS HOLD RAUCOUS STATEWIDE CELEBRATION
PBS	It doesn't air ads
RAP	Talk to a beat
ONO	John Lennon's middle name
EDER	River to the Fulda
BRETT	Hall-of-Famer with 3,154 hits
ANKLE	Turning point?
TETE	French bean
MOSS	It reproduces by spores
SARAS	Actress Allgood and others
POSED	Acted (as)
STEN	"Nana" star Anna
