FAJITAS	Tijuana dishes
FIFTHS	Rémy Martin units
ASIAGO	Lasagna cheese, sometimes
JAVITS	Late New York senator Jacob
IDE	Lanthan- suffix
TOYA	Michael's sister La ___
ARAFT	Mideast peace conference attendee, 1993
SERVO	Regulator mechanism, for short
INLIMBO	Relegated to a state of oblivion
IMPRISONS	Doesn't let go?
NAE	Refusal for Rob Roy
LUNE	Millet's moon
ISATE	Reverse of "bring together"
MELANGES	Mishmashes
BUTLERS	Mister Belvedere and others
OMY	Record of 1947 "Peg ___ Heart"
ISADORE	Middle name of Sen. Joe Lieberman
MAUSEUM	Resting place for the deceased
FIVEYARDPENALTY	False start's result, in football
DOPE	Lamebrain
TAI	Red ___ (sushi order)
AFVOR	"Do me ___ and ..."
ETAL	Reference abbr.
HGTS	Ming's 7'6" and Bryant's 6'6", e.g.: Abbr.
SAKI	"Reginald" writer
TOPIC	"Resolved: that ...," for debaters
CSPOT	Large bill, slangily
ENER	D.O.E. part: Abbr.
REC	Remote button
SOSAD	"'Tis a pity"
DIGIT	"Far out, man!"
ESSE	Tiberius' "to be"
ESTAD	Michigan, e.g., to a Spaniard
GRE	Last test before starting some advanced deg. programs
KISS	Request of a frog in a fairy tale
SHERI	Fashionista ___ Moon Zombie
STRANGLES	Does in with a rope
OPS	Missions, for short
ESC	Laptop key
EIGHTHNOTES	[Refer to blurb]
EYECOLOR	Factual info on a dating service questionnaire
EBOL	Fatal virus
EDY	Last name in ice cream
EEL	Sole alternative?
DRACULA	Fanged villain
IER	Laborer's suffix
STAB	Lance
ERE	Reversible preposition
TRAC	Double-bladed ___ II razor
CTRL	Laptop key
DOMED	Fated for ruin
MCMIII	"Rebecca of Sunnybrook Farm" was published in this year
ETERNE	Timeless, old-style
DOGEAR	Reader's place marker
LACE	Doily material
ENTRE	Restaurant order
INTWO	Rent down the center
WAITZ	Repeat New York City Marathon winner Grete ___
OTOSE	Lazy
LCTO	Milk: Prefix
COND	Time-share unit
DING	Solving, as a puzzle
GRATA	Latin motto "Ars ___ artis"
ANAS	Miscellanies
MEG	Tilly of Tinseltown
MULTIMLLIONAIRE	Doughbags
MFR	Dow Chemical, e.g.: Abbr.
MCA	Mineral in sheets
ART	Michelangelo's field
FLORNCE	Renaissance cradle city
TSARINA	Resident of the Winter Palace before 1917
RAREGAS	Last-column element on the periodic table
ZESTIER	Relatively piquant
