BOZO	Schmo
BIGHED	Macrocephalic
OLAFII	Sainted king known as "the Fat"
ZEROES	Numbers in the thousands?
OTERI	"S.N.L." alum
ICONS	Trash cans and such
INCH	Creep
CONE	Gelato holder
OHOH	"Pick me! I know the answer!"
NOTIP	Angry diner's decision
SWELLH	Egoist
EGGH	Walking encyclopedia
EPISCOPAL	Like a bishop's authority
GAR	Elongated fish
GLO	Day-___
HON	One way to meet
ILET	"How did ___ this happen?"
NOHOW	Opposite of someways
PALO	Alto lead-in?
GARE	Paris's ___ de Lyon
CNOTE	Benjamin
IRON	Wood alternative
HFORTHEHILLS	Split
TOYOU	"Happy birthday" follower
LAT	Back muscle, for short
EIEIO	Refrain from singing in kindergarten?
PLACARD	Picketer's sign
ATAD	Slightly
ROTS	Fails to keep
DEE	It's barely passing
DIS	Zing
YUAN	Chinese dollar
USN	Seal's org.
ANKA	"My Way" songwriter
NIECE	Eleanor Roosevelt, to Teddy
HTOTOE	All over
BOSNIA	1990s war site
BRAINDEAD	Unable to think at all
ANTS	Things with antennas
PATE	___ feuilletée (puff pastry)
SHRUNKENHEADS	Primitive trophies ... or a hint to this puzzle's theme
SHAW	"Rich Man, Poor Man" novelist, 1970
HIDE	Lie low
HUT	Wickiup, for one
EASED	Lightened
GHIA	Karmann ___ (old Volkswagen)
GRE	Test for M.A. seekers
ACTUAL	Genuine
RADIOH	Alternative rock band with four platinum albums
OER	Done, to Donne
HCASES	Nut jobs
ESTS	Repair shop figs.
SOB	Cry out loud
STEELE	English essayist Richard
OMAHAN	Certain Nebraska native
BEHING	Lady Jane Grey's fate
EWENECK	Conformation defect in a horse
KWIKE	___-Mart
EATME	Words on a Wonderland cake
AGLET	Shoelace tip
DRAWBRIDGEAH	Traffic sign that indicates a possible temporary road closure
BRIG	Ship part
RENU	Bausch & Lomb lens-care product
INGE	Playwright William
ANTE	Deal preceder
AXH	Chopping part of a chopper
NEE	French word in some bios
TNN	Former TV inits.
SIREN	Cause for pulling over
LEHI	Where Samson defeated the Philistines
XENA	Lawless role
EKING	Managing, with "out"
ELAN	Zest
HEND	Front
SEGUE	Go from one number to another
TENG	100 18-Acrosses
