ROUST	Debunk?
RELOAD	Add more film
ORANGE	Crêpes suzette flavoring
UNTIES	Loosens
SITONIT	Relative of "Get lost!"
TEENAGED	Like many Nintendo players
BEARCATS	University of Cincinnati team
BUSTA	Hip-hopper ___ Rhymes
ENHANCE	Better
ARISTOTLE	"Politics" writer in eight volumes
REP	Pitcher, of a sort
CAST	Place to sign
ALHIRT	Trumpeter from New Orleans
TIAMARIA	Premium liqueur
STPETERS	Tourist site in Rome
ERNIE	The adopted son on "My Three Sons"
UNREALITY	Figment of the imagination
YES	Concurrence
LATTE	It's an eyeopener
SHIPSHAPE	Tidy
ONION	Head, in old slang
TAS	Sch. aides
TIMES	x
AGENA	NASA booster
ANTI	Pro's opposite
INSOLE	Small comfort to a hiker
RAT	Kind of race
DESIGN	Scheme
NASCAR	Flag-waving org.
CON	Pro's opposite
TREE	Pedigree shower
EVA	Wagner soprano
TEASETS	Some services
SCAPEGOAT	Butt
IRV	Journalist Kupcinet
IRS	April abbr.
IKE	Former White House moniker
RETURNER	One successful in tennis
SANPEDRO	Port of Los Angeles
DSC	Mil. hero's award
LOP	Dock
PLUTARCH	Writer whose work was Shakespeare's primary source for "Julius Caesar"
ASA	Palindromic guy
KEA	Mauna ___
CAPELLA	Alpha star in Auriga
PENANCE	Amends
ANYMORE	Nowadays
ETNA	Pittsburgh suburb with an Old World name
ASTERS	Cousins of fleabanes
APE	Goon
EUNICE	Kennedy clan member
IRONER	Decreaser?
CORDED	Like twill
ESTOPS	Precludes
UPS	P.O. alternative
RENT	Let out
TREKS	Expeditions
TYROS	Pros' opposite
GRETA	Actress Scacchi
GUM	Sweet stick
ARIE	Indy winner Luyendyk
GAR	Needle-nosed fish
AMORT	Lifeless, old-style
UNDERGONE	Been through
GMT	Chronometric inits.
RONDO	Last movement of a sonata
MERRIMACK	Thoreau's "A Week on the Concord and ___ Rivers"
CREEP	Real stinker
ROSETTES	Cake decorations
HERDS	Wrangles
