GOD	Plea addressee
GALBA	Nero's successor as emperor
OBOES	Some reeds
DUNST	"Spider-Man" co-star, 2002
NODS	O.K.'s
NOSEBLEED	It may be checked by pinching
OILPAINTER	Rembrandt, for one
DRATTED	Confounded
SENS	Chamber workers: Abbr.
TARPS	Rainy day cover-ups
TISCH	New York University's ___ School of the Arts
AMORE	Subject of much poesia
ROUEN	Gustave Flaubert's birthplace
PUNTS	Small boats
STDS	Yardsticks: Abbr.
ABU	___ Ghraib (Iraq prison in 2004 headlines)
NOIRE	Burgundy black
NIK	It goes after refuse
IMOUT	Folding words
LONGISLANDSOUND	Ferry steamer locale
GTO	Certain Pontiac
DEW	Early-morning development
BESTKEPTSECRETS	They're rarely discovered
ASTO	Communiqué segue
BAT	Upside-down hanger
WHENS	"___ a good time?"
SLIER	Not as direct
SPEE	W.W. I German admiral
RETALIATED	Countered
INDEPENDENCEDAY	Highest-grossing movie of 1996
ITS	"___ over!"
NET	Safety enhancer
DNA	Stuff in a sequence
EFT	Pond dweller
NOREGRETS	"I'd do it all over again"
CWTS	100-lb. units
ELM	Boston's Liberty Tree, e.g.
DIE	Fizzle out
ANN	Sharp-penned Coulter
YET	Eventually
TENFEET	Regulation rim elevation
TOWLINE	Hawser
STATEDEPARTMENT	Thomas Jefferson was the first to lead it
PIPESIN	Delivers, as water
RILES	Bugs
MAJAS	Goya subjects
MOCHA	Shade of brown
ARHAT	Nirvana attainer
JTILE	Scrabble piece not found in the Italian edition
AOLER	Many a computer user
SNL	It has a wkly. guest host
PIG	Farrow member
CAPT	Voyage V.I.P.
CAD	He's no mensch
AWOLS	Base runners?
PHNOM	Hill, to a Cambodian
TOSCA	Floria ___, opera lead role
HORTONHEARSAWHO	Kids' book set in the jungle of Nool
HASH	Work (out)
HELI	Port opener?
SNO	___-Caps (candy)
ACHILLESTENDONS	They help you get a leg up
SHALE	Fossil medium
LIETO	Delude
LOC	Footnote abbr.
HATER	Hardly a fan
INDS	They're unaffiliated: Abbr.
SMA	Opposite of great, to Robert Burns
