BLABS	Spills the beans
BASIC	Underlying
LUNCH	Something for friends to "do"
ADIEU	A fond farewell
BID	Wish
STEAKS	Butchers' offerings
FARED	Got along
FILLE	Girl: Fr.
AMOUR	___ propre
RBI	Baseball stat.
ERN	Sea eagle
DOCS	Diagnosers
ABC	Epitome of simplicity
ALOTALIKE	Similar
BITTY	Itty-___
COHOS	Some salmon
AUDIT	Accountants may run one
IMBROGLIO	Entanglement
GLOBE	Boston newspaper
SNIDE	Said with a sneer
LOINCLOTH	Garb for Tarzan
ICE	Eskimo building material
ACLU	Bill of Rights defender, in brief
CBS	"CSI" network
SOTTO	___ voce (quietly)
CHUCKBERRY	"Maybellene" singer
CULP	Cosby's "I Spy" co-star
RESIN	Amber or copal
YALL	Everyone, in the South
BAYS	Cries like a wolf
USS	___ Constitution
EASEL	Three-legged piece
SET	Toy train purchase
ROIL	Stir up
RRS	Trains: Abbr.
OUT	Passé
IMPROVISE	Not follow the book
AISLE	Certain seat request
ASTRO	Houston pro
ITO	"What was ___ think?"
IZE	Suffix with fictional
ZIP	Rush (along)
ENT	Tolkien creature
RUMPELSTILTSKIN	Grimm brothers fairy tale
ELF	Jolly old ___ (Santa)
LEER	Lothario's look
SWAB	Gun barrel cleaner
STP	Popular fuel additive
LETON	Reveal
WEPT	Openly mourned
REFER	Send (to)
ENEMY	Other side
ALA	Menu phrase
ADO	Big fuss
LATHAM	Philadelphia landmark hotel
ATON	Lots and lots
ALPES	French peaks
TORAH	Religious parchment
ROUNDABOUT	Indirect
UTTER	Unadulterated
NOSED	Pried (into)
OGLER	Eyeballer
UNITE	Conglomerate
TUXES	Frequent Astaire wear
LOVES	Inamoratas
SETH	Genesis brother
TOOT	Horn sound
GNU	Bearded animal
PRIMECUTS	The starts of 18-, 23-, 39- and 52-Across
COE	Sebastian who once ran the world's fastest mile
USA	Dos Passos work
HELIX	Spiral
ERA	Century 21 competitor
EASYTOSEE	Crystal-clear
ARETE	Rugged ridge
SHE	Every other hurricane
HEARD	Like music
MARES	Stallions' interests
