MIR	Russian space station
MUSKS	Scents used for perfume
INANE	Senseless
ROGERBACON	English philosopher called "Doctor Mirabilis"
ROLAND	"The Song of ___," old French epic
REALIST	One who sees it like it is
ORD	Fort ___, former Army post on Monterey Bay
LAVA	Source of basalt
ASIS	Purchase stipulation
NECK	Place for a crick
DREAMT	Imagined
BLAB	Spill the beans
BOYOHBOY	Cry of glee
LIEU	Stead
ALAN	Chester Arthur's middle name
BYRD	Polar explorer Richard
UNO	Half of dos
ERASER	Blackboard appurtenance
OILY	Like hands after eating potato chips
SAGEADVICE	It's worth listening to
ELBA	Isle of exile
YEAR	Info in a used car ad
KNELL	Toll
ASKAROUND	Conduct a survey
RAHS	Sis-boom-bahs
SERBIA	Republic from which Montenegro gained its independence
AIRS	Snobs put them on
MAH	___-jongg
BASILRATHBONE	Sherlock Holmes portrayer
LEARN	Memorize, as lines
RABID	Raging mad
ADLAI	He lost to Dwight
OCEANTIDES	They're controlled by the moon
NANA	"Peter Pan" dog
ELSA	Actress Lanchester, who married Charles Laughton
ADA	Nabokov heroine
ADAM	"Madam, I'm ___"
DELI	Place to get a Reuben
TREAD	"Don't ___ on me" (slogan of the American Revolution)
SOCAL	Where San Diego is: Abbr.
DECO	Art ___
OUTEREAR	Catcher of sound waves
SABLE	Expensive coat
ENTR	___'acte
YENS	Cravings
ALOUD	Not silently
DCLI	Mid seventh-century date
RIANT	Laughing
TIETACS	Haberdashery items: Var.
AAA	Drivers' org.
MINTCONDITION	Perfect shape
OLDHAT	Dated
ODOR	Smell
ELL	Building wing
REDTAG	Sale markdown indicator
ALERO	Old Oldsmobile
GENES	They may be dominant
HYBRIDTEA	Variety of rose
HAFT	Knife handle
YALE	Where Bill and Hillary met
BREA	La ___ Tar Pits
TERI	Hatcher or Garr
ERAT	Part of Q.E.D.
ABBA	"I Do, I Do, I Do, I Do, I Do" group
TOILE	Decorative sofa fabric
AARE	River of Switzerland
HERBGARDEN	Where the first words of 17-, 26- and 47-Across may be found
GIN	Winning cry in a card game
FLEA	It may be in the doghouse
ARABIC	Its alphabet starts with alif
ERE	Bard's "before"
TEAR	Hightail it
TITANS	Tennessee team
SOS	"Help!"
