SABLE	Jet
SAVER	Penny ___
ARENA	Bowl
BYNIGHTER	*Unreliable sort
LAUD	Write an ode to
ENS	Wearer of a half-inch stripe: Abbr.
GOP	Bush people, for short
GARNI	Decorated, on menus
ORANG	Tropical tree-dweller
PEP	Zing
SALES	Retail, e.g.
SCRUBS	O.R. attire
ALERO	Car discontinued in 2004
LOMAX	Bluesman Willie
EVITE	Web-based way to announce a party
SEXER	Gender determiner, as on a chicken farm
ARYAN	Indo-___
ARE	It may come after you
CLOVE	Spam flavorer
VENUSTRAP	*Hairy-leaved plant
TIED	The same, in a way
REMIX	Many a dance club tune
ENID	English author Blyton
INN	Motor ___
CURATE	Parish V.I.P.
CTEAM	Third-stringers
RAG	Bootblack's need
WEIGHTBOXER	*Fighter at 112 pounds or less
WERE	"___ #1!"
HYENA	Villainous one in "The Lion King"
HEED	Mind
EIRE	Where punts were spent
YES	"Without a doubt"
ASTIR	Not still
ATE	Bolted down
SHY	Short
SHEA	Seaver once called it home
SALAD	Some greens
HIE	Hotfoot it
ENDS	___ of the earth
ESSE	De bene ___ (legal phrase)
NOFLYZONE	Restricted space ... or a hint to the answers to the six starred clues
DUO	One and one
SPR	White Sulphur ___, W. Va.: Abbr.
THERESAINMYSOUP	*Classic comical restaurant complaint
SPELL	Relieve, as for a break
YARE	Easily maneuvered, as a boat
EYRE	Fictional governess
PLEA	S.O.S., in essence
ASFOR	Regarding
BEA	"___ sport"
BEAKER	Lab receptacle
BREL	Singer Jacques
BLEU	___ cheese
INFIELDRULE	*Umpire's invocation after a pop-up, perhaps
INCAS	They believed the world was created by Viracocha
NOLIE	"That's the truth!"
FROND	Makeshift fan
IMAGE	Subject of a certain Google search
RAISE	Subject of union negotiations
UPPER	Caffeine or nicotine
YTD	Time period for a C.F.O.
TRUST	Bank's partner
DARES	Hurls defiance at
NORMAL	Reassuring result on a blood test
APE	Mimic
EZRA	Biblical prophet
EYER	Assessor
CLOAK	Traditional spy wear
ZIPUPYOUR	*Advice to a careless dresser, maybe
ZAX	Hole-punching tool for a slater
PDF	Suffix for many a sharable computer file
AINGE	Former N.B.A. star Danny
ASE	Enzyme ending
DENSE	Obtuse
SEDER	Occasion to sing "Dayenu"
XER	Gen ___
FRETS	They're found around a neck
