BALI	South Seas paradise
BIRCH	Hazel's cousin
AWARE	In the know
LAYUP	Michael Jordan shot
ISMS	Doctrines
HOLED	Put in the cup
HANDEL	"Water Music" composer
ORDEAL	Tough going
LOGS	Captain Kirk's records
EMU	Feathered six-footer
DAN	Fancy one
STAB	Attempt
SLOWMOTION	Replay feature
TOWN	Atlas dot
ALEE	Sheltered, nautically
BAND	Boston or Chicago, e.g.
IWAS	"___ a Teen-Age Werewolf"
AROMA	Taste stimulus
LOLA	1970 Kinks hit
RAYMONDGUN	Sci-fi weapon, formally?
OASIS	Kalahari stopover
OWEN	"A Prayer for ___ Meany"
CRUSADES	Holy wars
OWNED	Had title to
ORB	Celestial sphere
HEP	With it, once
SEA	Neptune's domain
FARM	Growing locale
FACE	Mug
AMOS	Book after Joel
WILLIAMBOARD	Highway sight, formally?
WATERMELON	Summer snack
INLAW	Archie or Edith, to Mike
ARMS	Weaponry
RIPS	Tears
DOSE	10 cc, perhaps
ARRAS	Elaborate tapestry
ALEC	He played Obi-Wan
RASH	Baby's problem
RITA	The Beatles' meter maid
NCO	G.I. with chevrons
TRIO	Crosby, Stills and Nash, e.g.
LAIT	Café au ___
SELES	Two-time U.S. Open tennis champ
SUEZ	Red Sea access
ESSE	Being, to Caesar
IMPS	Bedevilers
ESTE	Ferrara family name
USA	Dream Team's team
POSSE	Armed band
POWER	Authority
CHARLESWAGON	Western chow dispenser, formally?
LAT	Back muscle, for short
ANCHOR	Rather, e.g.
GERUND	Verb-turned-noun
MAZE	Rats run it
NEW	Ad word
ODD	Unexplained
OMEGA	The end, in Athens
DECAY	Rot
DROSS	Smelting refuse
ROGET	Man of many words
RAZE	Bring down the house
OWED	Had markers out
GORE	Reason for an R rating
SCREAMER	Sensational headline
STLO	Historic Normandy city
ADAM	Resident of 63-Across
AWOL	One gone but not forgotten
ARTHURDECO	1930's design style, formally?
ASS	Balaam's mount
RAW	Cold and wet
ZERO	No-show's score
SALON	Vidal Sassoon's workplace
AGAS	Turkish bigwigs
EDEN	Genesis setting
SWORD	Dubbing need
MAYS	Giant great
