RAM	Push hard
RIMS	Optician's display
ACUT	___ above
MESA	Arizona spring training site
JUDO	Olympic sport since 1964
JACKO	Tabloid nickname
UTA	Acting legend Hagen
DEL	One of the original 13: Abbr.
ORSO	About
PASSUP	Forgo
PELTER	Snowball thrower
ATLST	"It's about time!"
SOB	Have a bawl
SILVERSMTH	Paul Revere, for one
ULEE	Title beekeeper in a 1997 film
PEST	Little brother, maybe
ICEWATER	Cooler in the summer
WILCO	Astronaut's answer
ETOILE	Paris's Arc de Triomphe de l'___
MUSICALSYLLBLES	Components of 38-Across
YALE	Home of the Peabody Museum of Natural History
STALK	Flower holder
OATS	Sow what?
VET	Pro
COCA	Plant with a chewable leaf
CALL	___ lily
AMAT	Master with strings
LETHE	River in Dante's "Inferno"
HAIF	City near the cave of Elijah
AHSO	"Got it"
ADDN	Codicil, e.g.
HERAT	When this happened
SEMNARIANS	Clergy students
AMEER	Arab leader: Var.
ENDWS	Supports, in a way
ART	Oil field?
THRAD	Series of online posts
DEE	North Sea tributary
OLAN	Pearl Buck heroine
OSE	"___ Mio"
AISHA	Actress/host Tyler
ASD	Comparable in years
ADGS	Lead ___ life
DRMFSLTDTLSFMRD	Piano exercise for beginners
FCTO	De ___
TETO	Fasten on
LNES	Keglers' places
NANCE	1930's V.P. John ___ Garner
WEND	Travel
TAG	Make it
TAT	Use a shuttle
BASTE	Butter up?
BEANED	Hit on the head
ALUG	Chug follower
PHDS	Goals of some candidates, for short
PONDS	Aquaculturists' locales
ROWEL	Wheel of a spur
WHINE	Kvetch
OSLO	Christiania, now
LUNKS	Blockheads
TAI	___ chi
TSAR	Peter, for one
ACTA	Recorded events
HAUL	Take
LUBE	Garage job
UNITE	Band together
IDLS	Types with fat recording contracts
TWIT	Blockhead
ENDS	They may be split
SCALINGUPANDDWN	Possible title for this puzzle
LIP	Collagen target
PAX	Opposite of bellum
ACE	Whiz
ATNINE	When many shops open
BACKSLID	Regressed
RASPED	Talked like Vito Corleone
EXES	Ones who are all broken up
STS	Ave. intersectors
