PASTA	Ravioli base
PAST	Auld lang syne, with "the"
ACER	Perfect server
SEMAPHORE	Communication means at sea
TRIVIA	"Jeopardy!" staple
ABSENCE	"___ makes the heart..."
RTES	Numbered hwys.
RESTS	Takes five
TINY	Minuscule
ERA	Period of history
SEINED	Trawled
TSAR	Nicholas was one
TIMBERED	Having trees
STABS	Knifes
ATILT	Like Pisa's tower
ROLES	Parts
ACERB	Sour
EIRE	The Emerald Isle
ITTO	"What's ___ you?"
SEMIS	18-wheelers
SNAILMAIL	Communication means for computer-phobes
LITER	Pepsi bottle size
TRAVESTY	Grotesque imitation
SEATS	Train reservations
NIBBLE	Eat like a rabbit
PINES	Trees with cones
RETESTS	Tries again
RECUT	Split the cards again
ITHACA	Cornell's home
IONS	Charged particles
TREK	"Star ___"
SEDER	Passover event
SILAS	"___ Marner"
ORO	Spanish gold
ETHIC	Moral principle
HATED	More than disliked
REMET	Convened again
MORSECODE	Communication means for emergencies
ERSE	Language spoken in Dingwall
TATS	Does lacework
NERD	Eggheady sort
DISRUPTS	Upsets
SALUT	"Cheers!" in Cherbourg
TENOR	Jose Carreras, for one
DORA	Dumb ___ (scatterbrain)
SKEIN	Length of yarn
NITRE	British fertilizer
TATER	Spud
ROOFERS	Ones at the top of their business?
RST	Q-U link
SIDES	Agrees (with)
DENVER	Stapleton Airport site
NOISES	Bang and buzz, e.g.
INAROW	Lined up
CHARTED	Graphed
CAGED	Pent up
HURRY	"Faster!"
ABASE	Belittle
DOONE	"Lorna ___" (1869 romance)
DUETO	Because of
AUBURN	Reddish brown
SURFACES	Comes to light
SNIT	Tizzy
EDIE	Actress McClurg
SENT	Faxed
GRAPEVINE	Communication means at the office
IDO	Bachelor's last words
ERODE	Eat away
ERST	Once, once
EDIT	Blue-pencil
RODIN	"The Thinker" creator
DYES	Henna and others
ROTO	Old newspaper section
SWEET	Sugary
