BETA	___ blocker
BARCAR	Where train commuters drink
EMERGE	Come to the fore
TABOOS	No-nos
ASAP	Pronto!
HACK	Cabbie
HOLISTIC	Kind of medicine
ABORT	Call off a takeoff
CISCO	50's western "The ___ Kid"
KEEL	Ship's central beam
CACTI	Desert flora
COSSACK	Russian horseman
ACT	Take steps
CHOPSHOP	Auto disassembly site
TERI	Actress Hatcher
IRES	Gets one's goat
AMAS	Latin 101 word
OBIE	Cousin of a Tony
OCHER	Autumn color
REBA	Singer McEntire
LOSE	Give the slip to
STORE	Squirrel away
CROPCIRCLES	Alien art form, some say
CARA	Singer Irene
ELL	Building wing
PIS	Magnum and others, for short
AGO	Give it ___ (try)
ASTO	"Now, about..."
LAMS	Getaways
MORASS	Quagmire
RESORT	Hilton Head Island, for one
ONTAPE	Recorded
ALCOHOL	Prohibitionists would like to prohibit it
ADIN	Point after deuce
ONE	Single
LED	Conducted
NAILED	Caught but good
LUVS	Disposable diaper brand
ETE	Bordeaux summer
KRONE	Danish money
PACT	Agreement
PES	Foot: Lat.
ALL	The works
CLIPCLOP	Carriage horse sound
CUTIN	Interrupt, as a dancer
NOBODIES	People who don't count
APED	Parroted
ELLAS	Fitzgerald and others
SUPPERS	Evening meals
VENOMS	Bee and snake products
MATA	___ Hari
SLIPUPS	Boo-boos
PER	Each
BASTER	Turkey moistener
TRISHA	Country singer Yearwood
EASTER	Resurrection Mass day
REHEAT	Warm up again
PEPE	Cartoon skunk ___ Le Pew
SPOT	TV ad
SNAIL	Escargot
PENNE	Tubular pasta
RAE	"Norma ___"
ENC	SASE, e.g.
EVIL	Stephen King topic
NANO	Prefix with second
PRUNEDANISH	Fruit pastry
ULNA	Arm bone
NEST	Hornets' home
VALSE	Ravel work, with "La"
SUE	Take to court
LANI	Legal scholar Guinier
ESTE	Villa d'___
INOUR	"Give peace ___ time, O Lord": Morning Prayer
NINE	Prime time hour
SHEA	Mets stadium
LOPES	Gently gallops
ALES	Pub round
TART	Like a Granny Smith apple
