ACCEPT	Believe in
AMBO	Early pulpit
COUP	Stunning success
COST	Penalty
ELI	Lilly of pharmaceuticals
PANACEAS	They'll take care of everything
THEMAN	Jack Albertson TV role
ROOMMATE	Telephone bill splitter
RUSH	Send by FedEx
OPS	Mother of Jupiter
ORC	Mythical monster
MOHAIR	Goat's yield
MOONLIT	Like a romantic evening, maybe
ATON	Immensely
TELE	Prefix with type
EDS	Trib. workers
MOOLAH	Scratch
UPROOTED	Forced to flee
BUSINESSSCHOOLS	Places for recruiters
SANTAANA	City east of Long Beach
OPT	Not req.
AMAH	Asian caregiver
ANNE	Diarist Frank
SCAN	Brain ___
SET	Nicely situated
AIL	Trouble
APSE	Church niche
FREEENTERPRISE	The American way?
FARM	Kind of team
ROBOT	NASA exploring tool
ERICH	Psychoanalyst Fromm
ELMER	Borden bull
REMARKER	Opinion giver
SANYO	Mitsubishi competitor
EMBER	It's got spark
AORTA	Vital carrier
ALES	Bitters
TAME	Crack the whip at, maybe
EAST	Certain all-star team
RBI	Result of a squeeze, for short
SCAMMED	Humbugged
COTE	Sheep shelter
DREWAWAY	Recoiled
NBA	Kings' org.
MOCK	Like a kangaroo court
KEPTOUT	Barred
ONEA	Suitable for serving
REYES	Point ___ National Seashore
EPI	It may be left of center
THESTARRREPORT	Much-discussed 1998 document
SEEFIT	Deem appropriate
RISERS	Stair parts
PEE	The Carolinas' ___ Dee River
KIWI	Down Under bird
BITE	Dentist's request
BEEB	English channel, with "the"
ITBE	"Let ___"
MESA	Hopi reservation sight
MISS	Overshoot, say
OSS	Former intelligence org.
OREO	Nabisco brand
SKIP	Record problem
SSNS	ID's, of sorts
SETOFFFIREWORKS	Cause a big public disturbance
SRA	Madrid Mrs.
FLO	Mrs. Andy Capp
FDR	Yalta monogram
OKS	Sanctions
REBUILDS	Makes over
RAKEIN	Make hand over fist
ABETTORS	Lookouts, sometimes
SYSOPS	Cyberspace V.I.P.'s
