PEREZ	Reds Hall-of-Famer Tony
PAST	Over
ELLA	2004 film "___ Enchanted"
RAIN	Pour
EMP	Great Brit., once
ZOO	It features creatures
MAST	It holds a yard
MOTIF	Unifying theme
ASFAT	Comparable to a pig
SLO	___-mo
TOR	Overlook point
CHIA	Kind of pet
CRUSOE	One who might say "T.G.I.F."?
HUNS	Barbarians at the Battle of Chalons
INCA	Andean ancient
ASHY	Wan
ALAMO	Historic mission
OSLO	Northern capital
RUNS	Kennel enclosures
SLIPOUTFORLUNCH	Wardrobe malfunction at a restaurant?
UNIT	Module
LETT	Neighbor of an Estonian
TAN	Result of some bathing
NIA	Actress Vardalos
ESSAY	Bacon or Lamb product
SHIFTINTO	With 48-Across, wardrobe malfunction at an auto repair shop?
SPEC	Work detail
HARK	Quaint cry
ILEFT	"___ My Heart at the Stage Door Canteen" (1942 hit)
NASA	Org. with far-out goals?
LAPAT	Wash against, as the shore
LILAC	Kew bloom in a Noyes poem
ADAPT	Customize
LATEFEE	Payment penalty
FJORD	15-Across is on one
EUROS	French or Italian bread
ELKS	Service group
EIDER	Duvet filling
ESSO	"The sign of extra service" sloganeer
CUES	Wink, nudge, etc.
COONS	Woods varmints
UFO	Popular tabloid subj.
JUL	Third qtr. starter
SLACKSOFFATWORK	Wardrobe malfunction on the job?
SHOR	Restaurateur Toots
THEA	Which train to take, in song
WEAR	Depreciation consideration
SAP	Undermine
HOOT	Knee-slapper
HEROS	Subs
OCTAGON	Figure seen at an intersection
AFRESH	Over
GILD	Put a coat on
BEADS	Wampum
BETH	Title girl in a 1976 Kiss hit
FIRSTGEAR	See 23-Across
TENSE	It may be perfect
GATED	Like some playgrounds
SNARL	Lock problem?
SHIN	Tibia
NORA	Writer Ephron
ASIS	With dents and all
EAT	Get into a stew?
CCS	Amts. of meds
CANI	Kid's plea
CLAP	Fan sound
SKIS	Street wear?
HOSEDOWNTHEWALK	Wardrobe malfunction on a promenade?
OVA	Fraternal twins come from two different ones
WAX	Batiking need
ESQ	Atty.'s title
WIT	Comic
IRIS	Dench/Winslet title role of 2001
VASE	It may hold a spray
SINAI	1967 hotspot, with "the"
NASH	His poem "Fleas" reads, in its entirety, "Adam / Had 'em"
AXED	Involuntarily out of a job
QTIPS	Unilever brand
