HALF	Game segment
HARDC	Third letter of recommendation?
ADEER	"Doe, ___ ..."
LUMPONABOG	Pile of peat?
FESTOONS	Party hang-ups
ENABLE	Empower
ECSTASY	Fantastic feeling
NOTANY	Zero
AHOLD	Grab ___
BOWEN	"The Death of the Heart" novelist
LST	D-Day transport: Abbr.
ETHANE	Crude petroleum component
CHAP	Crack in the cold wind
CRONY	Sidekick
HINT	Request from the stumped
AGE	Paleontologist's estimate
PASSERBY	Accident witness, often
PLUM	Choice assignment
PRESTO	Abracadabra alternative
LOTHUNCHES	What Realtors get intuitively?
UTTER	Mouth
MOUSY	Timid
ADUE	Together, in music
COHOST	One of five on "The View"
RIGA	European capital
ROTO	Old paper part
REMS	Radiation dosages
STOWTHRONES	Make room for new palace furniture?
RUNG	Hierarchy level
ETTU	Famous reproach
DEPT	Org. division
TALE	Whopper
AUNT	Family member
SASHES	Beauty pageant wear
ANTI	Dissenter
CROOKANDNANNY	Domestic burglary team?
KITT	"Santa Baby" singer
APSE	Vaulted recess
CENTURY	Period in history
COMA	Thoughtlessness?
NOISY	In need of a muffler
PEG	Identify
MORTON	Salt seller
MAPS	They may provide relief
SCANTY	Exiguous
SPAM	Foxhole fare
CAGE	Home for some 66-Across
PAS	Faux ___
PATTI	Page of music
AVE	Caesar's greeting
BAMBI	Kids' classic subtitled "A Life in the Woods"
BERLE	"Texaco Star Theater" star
CBC	Toronto media inits.
BONO	U2 frontman
CYAN	Greenish blue
PABST	Colt 45 producer
WAVETHEPAY	Show someone money they could be making?
WALLS	Chamber quartet?
TWITTER	Chirp rapidly
HASH	Mess
AHOY	Yawl call
ALPHA	Part of many stars' names
AGO	In history
PATE	Cocktail party spread
POET	Sexton, say
WARS	Part of V.F.W.
PLENA	Joint legislative assemblies
PUCE	Brownish purple
MEGAVOLT	Big potential difference
APERY	Impressionism?
VENT	Let off steam
ISL	Geog. feature
SOUPSON	"Come and get it!"
SINEW	Strength
ONTO	Not duped by
PEELINGTHEFINCH	Job for a bird taxidermist?
NETWT	Product label abbr.
GAYE	"Let's Get It On" singer
FUROR	Angry display
RODENTS	Snakes' intakes
RAGE	Angry display
OPAL	It's less dense than quartz
DORMSTRAIN	Pressures caused by living on campus?
EAT	Partake of
UNTEAMED	Not harnessed together
MADBANNERS	Pennants depicting Alfred E. Neuman?
ENOL	Organic compound
DANE	Fjord explorer?
APORT	Left at sea
STYE	Ophthalmic development
SONY	Magnavox rival
OREO	Snack since 1912
OLE	"Bravo!"
ANA	Book collector's suffix
GARY	Player who putts
SHOWERFLOW	Thing that's adjustable in some bathrooms?
SCRIMPED	Cut corners
HERA	Vengeful Olympian
FOIE	Liver at the Louvre
HADON	Sported
HILO	Seat of Hawaii County
AMBUSHES	Waylays
ELM	It might have blight
SCENT	Chanel No. 5, e.g.
SANA	Arabian Peninsula city
OER	Done, to Donne
NIMBLE	Hardly clumsy
NEMESES	They're unconquerable
SCARRY	Children's author Richard
COINED	Originated
PSI	Pressure meas.
PALE	Blanched
SKIRTS	They may be slit or gored
MELBA	Peach ___
METTLE	Pluck
ESTONIA	It regained independence in 1991
EMBAR	Imprison
SIETE	Diez minus tres
RAKETHEMOUNDS	What some groundskeepers do?
RAWER	Less experienced
TRACY	Trueheart's beau
HANKY	Tux accessory
DARIN	"Splish Splash" singer, 1958
SPECS	Building plans
MIRIAM	Singer Makeba
MALI	Sudanese Republic, now
MOVE	Don't just sit there
RATE	Have status
SNAP	With 104-Across, Edible pod
BEAN	See 103-Across
PLOWERPANTS	Farmer's overalls?
LAY	Not of the cloth
PIA	___ mater (brain enveloper)
HERE	Epitaph opener
ATIE	In ___ (even)
EAVE	Gutter site
TICKLE	Make laugh
ERIC	Montross of the N.B.A.
REND	Rip up
DYER	Salon specialist
SAYYES	Consent
SSNS	I.R.S. info
