MAN	"Whew!"
MOJO	Magic charm
ATOM	Tiny bit
NINEDOWNISFALSE	See 6-Down
ASPEN	It trembles in the woods
ABS	They're crunched
SECS	Fractions of a deg.
PARADOXICALPAIR	3- and 9-Down, e.g.
ERATO	Inspiration for poets and musicians
NOPETS	Hotel restriction
THY	Biblical pronoun
THREEDOWNISTRUE	See 6-Down
HAITI	Where Columbus made landfall, 1492
YMCAS	Certain community centers
OTIS	Milo's title partner in a 1989 film
SINEW	Toughness
BEARON	Relate to
NESTEA	Coca-Cola Company beverage
HAM	Not act professionally?
JONI	Singer Mitchell
SCRAPE	Fix
RIC	Rocker Ocasek
OMENS	Indications needing interpretation
SLIP	Falter
SATES	Fills up
ETA	Athenian vowel
DELI	Swiss vendor
INRE	Concerning
DOTTHEIS	See to details
HERE	Word said while raising one's hand
GROWINTO	Become old enough for
GULF	Chasm
RAIL	Transportation option
TONS	Gobs
SEED	Something to go to
UAW	Detroit org.
PROXY	Representative
YARN	Ball in a basket
AROMA	It comes from the kitchen
MAID	Old ___
ANTS	Some colonists
LINK	Web site offering
KEPT	Didn't spoil
ENIAC	Pioneering computer
CUDS	They're chewed in the field
EWAN	McGregor of "Star Wars" films
FLIER	Barnstormer
RABBIT	One good at multiplying
SCRUB	Substitute
BRAG	Talk big
NIT	Minor objection
SPAY	Fix
YOUDIG	"Savvy?"
ANDROIDS	Some sci-fi villains
ONEAL	N.B.A. star who played at L.S.U.
SOFTBOIL	Cook, in a way, as eggs
SAVES	Pitching stat
OHARE	Fighter pilot Edward for whom an airport is named
IMETA	"___ man who wasn't there"
SANS	Without
AHA	Sound of a epiphany
BUMPS	Shocks testers
SLAB	Thick slice
GETAT	Irk
ACRE	Planar measure
THEN	Consequently
VAL	Kilmer of "Batman Forever"
IDEALS	Paragons
SNO	___-cone
ARCH	Shoe part
ERS	Speech interruptions
TITIAN	"Christ Before Pilate" artist
LURE	Tackle box item
SEE	Date
GARBO	Famous recluse
EEN	Poetic time of day
