ADAMSALE	Abstainer's order
ALDA	Tynan player in "The Seduction of Joe Tynan"
DINT	Force
AMAT	End of a loving trio
MET	Huddled (with)
STUDIOS	Places to make tracks
ARREAR	Unfulfilled duty
LEANN	Rimes with "Blue"
EELS	Catch in pots
DEVIL	Ranger rival
DRUMSET	Band ensemble
ESPO	1969 and 1974 Hart Trophy winner, familiarly
VIER	Number between drei and funf
INRE	About
LEGS	Staying power
LIMETREE	Linden
URSINE	Like some cubs
USSTEEL	Largest tenant of Pittsburgh's tallest skyscraper
DNATURAL	Accidental in the key of B or E
SUPERG	Olympic event since 1988
ATT	Call letters?
DENS	Retreats
SMORES	Three-ingredient treats
IAN	Producer/director ___ MacNaughton of Monty Python
QTS	Peck parts: Abbr.
QUILT	It often gets down
FMAJOR	Beethoven's "Pastoral" Symphony is in it
FRERE	Réunion reunion attendee
MOSEL	German wine region
ALTHO	Poetic conjunction
JOHNQ	2002 Denzel Washington drama
QUEENMUM	Noted centenarian of 2000, familiarly
QUEST	Pursuit
NGAIO	Contemporary of Agatha and Erle
MASTS	Pair from a deck, maybe
UMIAK	Literally, "women's boat"
MEALS	Board
ROLOS	Chocolate snacks
QUIETGAME	Parent's ruse to hush noisy kids
QUINT	Rare delivery
ESTH	Job preceder: Abbr.
QUELL	Silence
QUETZAL	Guatemala's national bird
ASIA	Silk Road locale
REHNQUIST	Burger replacement
QUIZNOS	"Mmmm ... Toasty!" sloganeer
VITAL	Key
VIPPASS	It might get you backstage
ELOQUENT	One way to wax
KIOSKS	Stands in line at an airport?
KISSME	Pecking order?
ITT	Member of an "ooky" sitcom family
SIP	Take in tentatively
SARAH	Miles of film
PIZAZZ	Dash
POPS	Old man
IRAN	Modern home of ancient Medes
ZITI	Feeding tubes?
AARP	Powerful D.C. lobby
GASP	Betray horror
GIST	Meat
ATV	Yamaha product, briefly
ADAR	When the Feast of Lots is observed
TIDE	Periodic riser
VTEN	Powerful engine
ORIANA	Title woman of a film that won the 1985 Camera d'Or
IRSAUDIT	Dodger's dread?
UPI	News inits.
PATROL	Do borderline work?
SAMSPADE	Sleuth who "looked rather pleasantly like a blond satan"
SNIPS	Small pieces
THESIREN	Spellbinding "Batman" villainess played by Joan Collins
