CONDOR	Andean flier
CORONER	One doing body work?
ONENOTE	Lacking in variety
NSA	Decryption org.
DAMP	Like many a cellar
OLEIC	Kind of acid
REDRUM	Three-time Grand National champion whose name is a kind of liquor
IDEST	Clarification lead-in
INSTEP	Conforming (with)
DOPES	Ninnies
ETAS	Itinerary info
SUN	Las Vegas newspaper, with "the"
TRIESTE	Italian port near Slovenia
ONSALE	Reduced
NOTURNS	Intersection interdiction
NESTOR	Counselor to the Greeks at Troy
SLOOPS	Single-masted vessels
CREAMED	Not just beaten
CLOSE	Intimate
SPANIEL	Nixon's Checkers, e.g.
LON	N.B.A. coach Kruger
PIRATES	With 28-Across, treasure locator
ABAN	Impose ___ on
ESO	That, in Toledo
ONOR	___ about
ROBBERS	See 31-Down
CUBES	They have six faces
ISTO	Analogy part
ISLANDS	Some treasure hunters' destinations
SETON	Determined to carry out
NULLS	Repeals
MAP	See 19-Across
ESTOP	Bar in court
EUBIE	Blake of ragtime
EREBUS	Antarctic observatory mount
SEA	With 23-Down, treasure hunters
RULERS	Shahs and pooh-bahs
RLS	Author of a classic novel about treasure hunters: Abbr.
BLEW	Went off
ELBA	1814-15 principality for Napoleon
ANGELA	Activist Davis
ADONIS	Hunk
NEWEST	Most modern
GENERIC	Prescription option
SING	Blab
SINEWS	Source of strength
EDIFICE	Skyscraper, e.g.
WIZENED	Shriveled
SEEDS	Core group?
DEERS	Some tick carriers
DIG	With 52-Across, what treasure hunters do
DERIDE	Make sport of
GLOVES	Ring wear
EDDIE	"Frasier" dog
OWNS	Has
MENLO	___ Park, Calif.
MOLES	Double agents
OLIVA	Ex-Twin Tony
SIZE	Assess, with "up"
NEE	Word between Lincoln and Todd
FORGOLD	See 44-Across
FETA	Greek salad topping
DRIP	Faucet problem
FED	Govt. agent
ISRAELI	Sharon, e.g.
ALE	It may be bitter
VIRGINS	Uninitiated ones
GNP	Economic stat.
STILTED	Overly formal
EVINCE	Manifest
CEASE	Knock off
SAPPED	Drained
