TOQUE	Brimless hat
TORI	Singer Amos
ORAN	Escape route city in "Casablanca"
QANDABYTHEBANDB	Interview near an inn?
UNDER	Hypnotized
EGRETS	Wetlands fowl
JUNK	Chinese vessel
JAN	Swing bandleader Garber
UNTO	Billy Graham's "___ the Hills"
NOHO	It's west of New York's East Village
KNELT	Showed reverence, in a way
GRIN	Prankster's look
GPA	Factor in a scholarship grant, maybe: Abbr.
RANDBATTHESANDL	Soul music over a financial institution's sound system?
INDIA	Neighbor of China
NEPAL	Neighbor of China
ORANG	Arboreal critter
ANON	Like many limericks: Abbr.
PANE	Italian bread
RANDRINTHEAANDP	Grocery leisure?
IDEATE	Conceive
AARON	Sorkin who created "The West Wing"
INDEED	To be sure
OOLA	Dancer in Jabba the Hutt's court, in "Return of the Jedi"
DIA	Calendario unit
ARTE	"Guernica," e.g.
TRIBAL	Like some lore
IVIES	Penn and others
EBB	Fall off
EMIL	Viennese-born composer ___ von Reznicek
BASE	___ 10
SAFES	Common hotel room features
FERMI	Physics unit
EARED	Ending with dog or long
SMOLT	Young salmon
OVA	Some modern donations
MAYS	Baseball All-Star, 1954-73
SHAMU	Big name at SeaWorld
TEAM	Word often cried after "Go"
NITRO	Explosive stuff
ROUE	Lothario
ONEL	First-year Harvard law student
ISTH	Narrow strip of land: Abbr.
ERROR	Dropping the ball, e.g.
ROADIE	One who works with speakers?
ETON	"A Yank at ___," Mickey Rooney flick
LEHAR	"The Merry Widow" composer
RULED	Wore the crown
MELO	Drama intro?
SHUE	Elisabeth of "Hamlet 2"
EMU	Bird with two sets of eyelids
IDTAG	Item on a chain, maybe
GAMBIT	Queen's ___
EEL	___ roll (sushi item)
FIBULA	Bone below the femur
FIRED	Let go
INANE	Silly
ALOFT	Overhead
DAIS	What many audiences face
IPANA	Bucky Beaver's toothpaste
INA	___ rush
ELSA	Dr. Schneider of "Indiana Jones and the Last Crusade"
SNOW	Winter fall
ATRI	Longfellow bell town
IMPAIR	Undermine
IDIE	"And When ___," 1969 Blood, Sweat & Tears hit
ROES	European deer
RANDDONTHEBANDO	Railroad's work to produce new products?
DOT	Pixel
HEX	Bad spelling?
ENDO	Internal: Prefix
FORE	"Heads up!"
INDIE	Many a film festival film
DEBT	It's not good when it's outstanding
TWIX	Popular chocolate bar
TALES	They're related
