ROBOCALL	Modern campaign element
RESTUP	Recharge
OXHIDE	Leather type
BYENOW	"Later!"
OAR	Sweeping instrument
CNBC	"Squawk on the Street" airer
AKELA	Cubs' leader
LETITBE	1970 hit documentary
LESPAUL	"Vaya Con Dios" hitmaker, 1953
TUSSLE	Fracas
TORI	Bagels, e.g.
UPON	Part of many British place names
STALAG	War film setting
SIDEDOOR	It may be used to avoid paparazzi
LOITERER	Laggard
ENE	Navigation abbr.
EXYANKEE	One who used to get Bronx cheers?
OPTION	To be or not to be, e.g.
SHERBETS	Ice varieties
ROADIE	Band hand
TIN	Cigarette holder
CLIP	Money holder
INLET	Mooring site
UDON	Japanese noodles
NILE	Where Aida sings "O patria mia"
ATAD	Not much
DSL	Upgrade from dial-up
ADEN	Port annexed by Britain in 1839
NERO	First-century coup victim
PEWIT	Plover named for its call
TINGE	Soupçon
BUSHVGORE	2000 Supreme Court case hinging on the 14th Amendment
HASH	Jumble
VWBUS	Model featured in "Little Miss Sunshine"
LIBELLAW	Tabloid publisher's check
BART	TV character who says "I didn't think it was physically possible, but this both sucks and blows"
OER	The Who's "Love, Reign ___ Me"
MODENA	Maserati headquarters city
MUSE	Cogitate
OKEYDOKE	"You got it"
DECREPIT	Condemnable?
SBARRO	Alternative to Uno Chicago Grill
AGAR	Environment for multiplication, of sorts
UKE	Arthur Godfrey played it
GROUPHUG	Corporate retreat closer, perhaps
OIL	Covering for some wrestlers
UVINDEX	It drops to 0 after sundown
PERYEAR	Annually
SECRETIVE	Not open
README	Common text file name
SAGAS	Trilogies, often
GOGRAY	Start developing achromotrichia
ALLEGE	Hold
SLIDES	Begins to fail
EYRE	"Notes on a Scandal" director Richard
LIRA	Old capital of 36-Across
ASTRA	Ad ___ (National Space Society's magazine)
ROLL	Undulate
DEANS	They work to maintain their faculties
NUBS	Worn-down pencils, say
SOOT	Film about a furnace
NYSE	Frequent 5-Down topic
EELY	Difficult to grasp
GLI	Los : Spanish :: ___ : Italian
POPDUO	The Carpenters, e.g.
PAR	Acceptable shooting?
DETERRED	Opposite of encouraged
RYE	Kind of vodka
AKIMBO	One way to stand
EARLYAGE	6 or 7, but not 60 or 70
RETEST	Second chance in education?
XRAYEYES	Producer of a piercing look
