CHAT	___ room
CLASH	Don't belong together
HENIE	Figure skater known as "The Golden Girl"
AVILA	St. Teresa's birthplace
TIMER	VCR feature
FEIGN	Fake
FATCHANCE	"I wouldn't bet on it!"
ERIE	Lake along which I-90 runs
IGOR	Marty's role in "Young Frankenstein"
GUN	Rev
NEC	Japanese computer giant
SHOP	Factory
SHRUG	Clueless one's response
HOTDOG	"Yippee!"
OLEG	Designer for Jackie
PALETTE	Where artists mix
MEDAL	Cross, maybe
MUDPARTIES	Bad coffee klatches?
EVILWAYS	Santana's first hit, 1970
DUNE	Wind-swept hill
ALGA	Morsel for a sea snail
LAST	Hold up
LEVI	Former Israeli leader ___ Eshkol
ARGUE	Squabble
HOLA	Granada greeting
UVULA	Throat dangler
ANIMATIONCARTEL	Mickey Mouse club?
ANT	Army member
ABNER	Daisy Mae's heart's desire
DINGS	Parking garage mishaps
SILENCER	Accessory for a hood
BUDGE	Stop being obstinate
PLEAT	Accordion feature
HEARTH	Family life, figuratively
MANGO	Tropical flavor
MIKE	Amp attachment
ARI	Christina's dad
THAW	Become friendlier
HASATIT	Dives into a project
ATTIRE	Duds
TIAS	Andalusian aunts
TSK	"Naughty, naughty!"
GETARAISE	Earn more, say
ERITREA	Neighbor of Djibouti
ILLS	Pandora's boxful
SEEN	Dated
ESSO	Old rival of 105-Across
MARTINISKIRT	Cocktail dress?
MCGEE	Fictional investigator Travis ___
AROLL	Doing great, after "on"
REATA	Rodeo rope
TALONS	Grippers
IMIN	Poker player's declaration
TOP	Outdo
RESTYLES	Changes at the salon
CREAMCAKE	Custard-filled dessert
OBI	Geisha wear
BEAUS	Bridges and others
AISLES	Supermarket spots
GOALIES	Ones guarding cages
APPETITE	An elephant has a big one
ANO	Four seasons in Seville
PANIC	Go to pieces
ILS	They, to Thiers
SNO	Prefix in many winter product names
ELTON	Sir of pop
CANA	Miracle site in John 2:1
CREATOR	Mastermind
ATONE	Answer (for)
ARLISS	Actor George who won an Oscar for "Disraeli"
STALAG	W.W. II site
ELAN	Pizazz
CARTONQUEST	Egg hunt?
CELESTE	"Gentleman's Agreement" actress Holm
ARM	Branch
QTS	Parts of gals.
TINA	Model Chow
IBIZA	One of the Balearic Islands
NINER	Bayside footballer
ANGST	Unpleasant feeling
STEREO	Dorm room staple
TARTANLINE	Scottish fashion designer's showing?
ITSA	"___ date!"
RABIN	1994 Peace Nobelist
RIGG	Tony winner Diana
CIA	Tom Clancy subj.
CAPE	Zorro garb
IDOL	Second commandment no-no
AMIE	Gallic girlfriend
ALMANACS	Popular references
ALF	Sitcom character who lived with the Tanners
TOILING	Slave's job
TARO	Hawaiian tuber
ORANGUTAN	Word derived from Malay for "jungle man"
ADMIRE	Respect
INVOICES	Bills
TEL	___ el Amarna, Egypt
STARGAZES	Is a night watchman?
STAY	Hang out
TBS	SuperStation initials
POINTSTO	Suggests
TOOKFOR	Supposed to be
FORTBRAGGART	Biggest blowhard at the Alamo?
ORATE	Provide an address
RED	The "R" in Roy G. Biv
ELEVATORS	They're uplifting
STANCE	Attitude
REASON	Why
ONEO	"___'Clock Jump" (1937 hit)
TOADY	Apple-polisher
ORDER	It's usually made from a 109-Down
GONEBY	Passed
OPE	Expose, poetically
NENES	Bogotá babies
EDDIE	"Leave It to Beaver" boy
BUENA	Yerba ___, original name of San Francisco
YPRES	Town destroyed during W.W. I
MOBIL	Shell alternative
MAST	It might be rigged
OBIE	Award for "The Zoo Story"
BARN	Owl's hangout
KMART	Site of a blue light, maybe
MENU	See 98-Down
SOUPEDUP	Extra-powerful
SARI	Draped dress
ORCA	"Jaws" boat
ABACI	Primitive adders
FENDERBARTENDER	Beer dispenser at a tailgate bash?
RCA	Color TV pioneer
BIS	Twice, in music
SIREN	Tempter
ONCE	In the old days
CIRCA	About
EINE	Article for Mozart
TENSE	Stressed
RUER	Remorseful one
ASIAN	Like some stock markets that show early trends
SEAS	Limitless quantities
